,jydm,jydm_mc,p00483_f002,p00483_f007,p00483_f008
895,003214.OF,易方达富惠纯债债券A,1705177,2.300,2.1791634238233767
896,003607.OF,博时富益纯债债券,111718200,4.730,4.1160633023043600
897,003428.OF,中加丰盈一年定期开放债券型发起式,011752030,9.130,7.1105907898197953
898,003949.OF,兴全稳泰债券A,011760076,5.200,5.6187576358552326
899,160515.SZ,博时安丰18个月定开债A,019567,4.110,3.5061454245682509
900,004061.OF,华夏鼎隆债券A,011760077,5.820,7.2539357465335619
901,000914.OF,中加纯债债券,011754095,9.580,7.7287572765140810
902,003214.OF,易方达富惠纯债债券A,111718209,3.090,2.9313816115342755
903,004479.OF,博时富和纯债债券,111799904,7.090,5.8069907634673708
904,004122.OF,兴银长益三个月定开债,111711257,6.320,5.7601672517372149
905,519680.OF,交银增利债券A/B,101761021,8.640,7.1364567443212157
906,460008.OF,华泰柏瑞稳健收益债券A,011760079,7.130,8.7085398644441259
907,004334.OF,博时广利3个月定开债发起式,1780123,5.560,5.7385463163557585
908,002438.OF,创金合信尊盛纯债债券,011752034,3.630,3.1881185802075698
909,519680.OF,交银增利债券A/B,101754060,8.670,7.1668431173201503
910,003329.OF,万家鑫安纯债A,1789164,0.090,0.08443959157667199116
911,160618.SZ,鹏华丰泽债券(LOF),011754101,5.500,6.3152346950167548
912,001911.OF,博时裕恒纯债债券,142904,1.970,1.9478749683965816
913,003607.OF,博时富益纯债债券,146129,1.440,1.2479383480978337
914,002625.OF,博时安怡6个月定开债,127495,9.730,7.7626880571149720
915,004127.OF,鹏华丰康债券A,146156,4.920,4.0847254202349770
916,003983.OF,鹏华丰惠债券,170308,3.320,2.6354883511256211
917,004555.OF,南方和元A,170308,5.920,4.7430536005334266
918,001299.OF,兴业添利债券,170207,3.480,3.5810048973385580
919,003214.OF,易方达富惠纯债债券A,170207,3.460,3.2825985459975144
920,004498.OF,鹏华丰源债券,170207,6.600,5.9711360300254831
921,004544.OF,嘉实稳华纯债债券A,170207,7.870,7.7992507954420777
922,002548.OF,嘉实稳瑞纯债债券,041761008,4.180,4.7547655253342972
923,004141.OF,兴业瑞丰6个月定开债券,1780130,3.190,3.2002892112696970
924,001299.OF,兴业添利债券,116605,0.500,0.51403951787703232339
925,000186.OF,华泰柏瑞季季红债券A,011752041,6.970,5.6544549436655248
926,000265.OF,易方达恒久1年定期债券A,011771021,5.210,3.4027788922242920
927,519322.OF,浦银安盛盛元定开债券A,143159,4.770,5.6423957836293403
928,002832.OF,工银恒享纯债债券A,011752060,8.350,8.5233242983772335
929,002175.OF,博时裕乾纯债A,011771022,7.800,8.4184926575019758
930,002438.OF,创金合信尊盛纯债债券,011769020,3.620,3.1862110501436243
931,485105.OF,工银增强收益债券A,170309,6.120,4.9722710201606282
932,003313.OF,中银睿享定期开放债券,170309,6.540,6.5844915583251448
933,000295.OF,鹏华丰实定期开放债券A,143167,6.060,5.0487080789531599
934,003265.OF,招商招坤纯债A,111712136,12.140,10.3023894017737237
935,004030.OF,嘉实丰安6个月定期债券,111780787,3.900,3.7104063243355392
936,000295.OF,鹏华丰实定期开放债券A,143165,6.160,5.1344744063768515
937,004689.OF,博时丰庆纯债债券,111780875,18.780,19.7531040004073584
938,004940.OF,中加聚鑫纯债一年A,011754105,9.650,7.3758592218004492
939,002930.OF,博时聚润纯债债券,011752044,6.010,6.1343582437455223
940,000147.OF,易方达高等级信用债债券A,011761044,7.700,6.1272675066594936
941,000207.OF,建信双债增强A,132009,9.240,9.7234615467511455
942,002991.OF,嘉实稳鑫纯债债券,111713070,4.450,4.8349703698627271
943,004940.OF,中加聚鑫纯债一年A,011755040,8.030,6.1416389865301323
944,000191.OF,富国信用债债券A/B,112547,2.760,2.8462508812717355
945,003605.OF,景顺长城景泰汇利定期开放债券A,111713075,4.240,3.1979514708433776
946,003869.OF,长信稳势纯债债券,111781266,3.610,35.2517622273688160
947,004821.OF,国寿安保安吉纯债半年定开债券发起式,011760098,3.340,2.4045603705208777
948,004940.OF,中加聚鑫纯债一年A,011755041,8.030,6.1428665777726928
949,004722.OF,中银丰和定期开放债券,1728010,6.850,7.0425879424102228
950,004601.OF,博时富腾纯债债券,011754112,4.990,5.1876843027202952
951,000346.OF,建信安心回报6个月定期开放债券A,143193,8.000,6.2687484291271756
952,004689.OF,博时丰庆纯债债券,111781456,18.810,19.7800806105560396
953,000084.OF,博时安盈债券A,041751018,6.390,7.0298101416032784
954,001545.OF,博时裕嘉3个月定开债发起式,041751017,8.250,8.6014007085329580
955,002864.OF,广发安泽短债A,146245,1.930,1.9383297560030429
956,003547.OF,鹏华丰禄债券,011760103,5.790,4.6468497322320194
957,000244.OF,天弘稳利定期开放A,011751069,8.020,5.1230423722030833
958,002864.OF,广发安泽短债A,146159,1.930,1.9405437537247249
959,004042.OF,华夏鼎茂债券A,146256,7.600,6.2010934967965143
960,000244.OF,天弘稳利定期开放A,112556,5.610,3.5828286274247557
961,002904.OF,博时安仁一年定开债发起式A,112556,9.760,10.0861079574137530
962,002781.OF,博时聚瑞6个月定开债发起式,112556,7.730,7.3165231418674958
963,000084.OF,博时安盈债券A,011761048,6.420,7.0579800880733376
964,002438.OF,创金合信尊盛纯债债券,011758069,4.340,3.8154416339037781
965,000084.OF,博时安盈债券A,011754116,6.400,7.0396696228677991
966,002985.OF,中银季季红定期开放债券,011754114,2.400,2.4957529289928356
967,000084.OF,博时安盈债券A,011770014,6.400,7.0396696228677991
968,003452.OF,招商招盛纯债A,1789202,0.980,0.99343870568963870533
969,162715.SZ,广发聚源债券(LOF)A,170410,32.930,34.7985024139835391
970,650001.OF,英大纯债债券A,170410,15.200,16.6839818741441990
971,000943.OF,工银中高等级信用债债券A,170410,4.800,4.1942045717941737
972,001819.OF,兴全稳益定开债券,170410,2.700,2.7656460480639176
973,519743.OF,交银丰润收益债券A,170410,4.930,5.0027188798898849
974,002341.OF,招商招瑞纯债债券发起式A,170410,25.650,25.7597534604876407
975,003671.OF,兴业裕恒债券,170410,5.640,5.5912408981503616
976,004498.OF,鹏华丰源债券,170410,26.390,23.8725442486589553
977,003039.OF,广发集富纯债A,170410,11.780,13.1844809367807652
978,004498.OF,鹏华丰源债券,111781630,12.970,11.7310743226545665
979,004498.OF,鹏华丰源债券,111713082,12.970,11.7310743226545665
980,002301.OF,兴业短债债券A,111781696,3.870,4.5676745160228599
981,004923.OF,华夏鼎祥三个月定期开放债券A,116615,2.630,2.6059513136721938
982,005024.OF,南方兴利半年定开债券发起,116615,1.320,1.1035583460380276
983,004388.OF,鹏华丰享债券,041762024,9.790,10.6919817107170737
984,003258.OF,博时富祥纯债债券A,111781781,14.360,14.8571921820344037
985,519334.OF,浦银安盛盛勤定开债券A,111781781,14.980,15.3748673223532071
986,003660.OF,中加纯债两年债券A,041755012,7.930,6.9533679572346627
987,004614.OF,鹏扬利泽债券A,111781888,6.430,7.1559440382992703
988,004601.OF,博时富腾纯债债券,111781888,9.490,9.8768119321921464
989,000032.OF,易方达信用债债券A,011754121,5.790,5.0377359222800071
990,003329.OF,万家鑫安纯债A,1789174,0.750,0.69102614378721357744
991,003452.OF,招商招盛纯债A,1789174,0.600,0.60747385663905312648
992,002985.OF,中银季季红定期开放债券,011773002,2.400,2.4965012806956820
993,004020.OF,广发景祥纯债,011773002,4.730,4.5123796242253647
994,004052.OF,华夏鼎智债券A,011773002,4.730,4.3867492820248477
995,004479.OF,博时富和纯债债券,111781984,7.100,5.8143266818968484
996,004978.OF,富国聚利纯债三个月定开债发起式,111708251,8.020,9.3188887864130630
997,000032.OF,易方达信用债债券A,041762026,5.780,5.0286661836721815
998,001961.OF,博时裕荣纯债债券,041762026,8.560,8.7885889946787647
999,001545.OF,博时裕嘉3个月定开债发起式,011751074,6.630,6.9066036476964070
1000,004020.OF,广发景祥纯债,011751074,4.740,4.5213971694376456
1001,000295.OF,鹏华丰实定期开放债券A,127559,6.100,5.0785171073870039
1002,004920.OF,富国泓利纯债债券型发起式A,143229,2.960,2.2230667532088049
1003,004479.OF,博时富和纯债债券,111782074,7.100,5.8161606615042178
1004,000191.OF,富国信用债债券A/B,1780213,2.760,2.8465411965391031
1005,003329.OF,万家鑫安纯债A,1789199,0.180,0.16148502133418891635
1006,002377.OF,建信睿怡纯债A,011760110,2.830,2.3295030528231457
1007,002447.OF,博时裕安一年定开债发起式,041775002,6.100,6.2616935240509385
1008,003313.OF,中银睿享定期开放债券,170310,5.480,5.5092984748415685
1009,001545.OF,博时裕嘉3个月定开债发起式,011758075,8.260,8.6108707723697974
1010,161014.SZ,富国汇利回报定期开放债券,127581,4.630,3.7308058781292587
1011,000469.OF,富国目标齐利一年期纯债债券,127581,3.420,2.3982155283693071
1012,003265.OF,招商招坤纯债A,020195,12.520,10.6310970401174697
1013,004722.OF,中银丰和定期开放债券,143231,6.550,6.7332661103122239
1014,003770.OF,中银丰庆定期开放债券,1728012,5.870,6.0386759433359067
1015,004722.OF,中银丰和定期开放债券,1728012,7.820,8.0379820348017897
1016,003949.OF,兴全稳泰债券A,011753047,4.770,5.1522579734846152
1017,002301.OF,兴业短债债券A,111782524,3.870,4.5658044343376919
1018,002864.OF,广发安泽短债A,146328,3.220,3.2305495933384049
1019,004503.OF,鹏华永泰定期开放债券,146328,4.780,3.2412095650481091
1020,004438.OF,鹏华永安定期开放债券,146328,3.270,2.1546183054027002
1021,004127.OF,鹏华丰康债券A,146328,7.850,6.5152215787436954
1022,004052.OF,华夏鼎智债券A,011759070,4.740,4.3924474975190846
1023,000139.OF,富国国有企业债债券A/B,011764080,4.680,3.6038041213107888
1024,002578.OF,博时裕泉纯债债券,011756037,4.210,4.0046648494473310
1025,003223.OF,广发景丰纯债,011756037,4.510,4.5963632064155117
1026,000111.OF,易方达纯债1年定期开放债券A,041760040,3.320,2.4417668238450468
1027,004940.OF,中加聚鑫纯债一年A,011755048,9.630,7.3618646816352596
1028,001578.OF,博时裕瑞纯债债券,011764082,3.290,3.6630788331503504
1029,002447.OF,博时裕安一年定开债发起式,011755049,6.120,6.2818114148912628
1030,002985.OF,中银季季红定期开放债券,011794001,4.000,4.1658244791784462
1031,003452.OF,招商招盛纯债A,1789196,1.200,1.2230569756776190
1032,003155.OF,中加丰尚纯债债券A,1789197,2.820,2.9393131100622272
1033,004689.OF,博时丰庆纯债债券,111783042,19.000,19.9875929963151252
1034,003329.OF,万家鑫安纯债A,1789217,0.590,0.54126783864534087385
1035,003452.OF,招商招盛纯债A,1789217,0.320,0.32355956974055766496
1036,004388.OF,鹏华丰享债券,011754129,9.820,10.7220063309056283
1037,000111.OF,易方达纯债1年定期开放债券A,011752055,3.330,2.4503447460406282
1038,004388.OF,鹏华丰享债券,011759074,9.820,10.7241509466333822
1039,000111.OF,易方达纯债1年定期开放债券A,011764086,3.330,2.4491193285841165
1040,519718.OF,交银纯债债券A/B,170215,10.000,8.5582072984968658
1041,002169.OF,永赢稳益债券,170215,18.480,19.8016488214366371
1042,002341.OF,招商招瑞纯债债券发起式A,170215,12.320,12.3722953812686944
1043,002395.OF,鹏华丰尚定期开放债券A,170215,17.190,13.3721929175547661
1044,003265.OF,招商招坤纯债A,170215,12.170,10.3315838301792538
1045,003673.OF,中加丰裕纯债债券A,1722029,6.580,6.7064910596937705
1046,002929.OF,博时聚盈纯债债券,111783197,9.040,9.1756633857801850
1047,003983.OF,鹏华丰惠债券,146347,3.330,2.6444795817034128
1048,004438.OF,鹏华永安定期开放债券,146347,3.270,2.1546183054027002
1049,004503.OF,鹏华永泰定期开放债券,146347,2.390,1.6206047825240546
1050,004061.OF,华夏鼎隆债券A,011771029,9.260,11.5461489530632672
1051,004230.OF,永赢添益债券,170411,13.310,12.4395775648010338
1052,485105.OF,工银增强收益债券A,170412,10.610,8.6221032683453937
1053,002832.OF,工银恒享纯债债券A,011752057,8.340,8.5199241490610364
1054,002864.OF,广发安泽短债A,011758082,3.220,3.2324879230944080
1055,003327.OF,万家鑫璟纯债A,011754133,8.000,7.4706875121821954
1056,001299.OF,兴业添利债券,101751025,1.940,1.9957070242057903
1057,004141.OF,兴业瑞丰6个月定开债券,1722027,3.230,3.2402396137842680
1058,002754.OF,博时裕创纯债,1789240,1.630,1.3653236603718515
1059,002568.OF,博时裕发纯债债券,041756014,4.920,3.6228910946882418
1060,000032.OF,易方达信用债债券A,011751085,4.630,4.0293825388366434
1061,004061.OF,华夏鼎隆债券A,011758084,9.270,11.5554025286617952
1062,001299.OF,兴业添利债券,1789236,2.000,2.0512232921365098
1063,003155.OF,中加丰尚纯债债券A,1789236,0.870,0.91262332978464919257
1064,000183.OF,嘉实丰益策略定期债券,011756041,9.170,11.3971891675081689
1065,000244.OF,天弘稳利定期开放A,011755054,5.730,3.6600479165347275
1066,460008.OF,华泰柏瑞稳健收益债券A,011759076,7.120,8.7033293300218419
1067,161117.SZ,易方达永旭定期开放债券,011759076,4.060,2.9737901314221306
1068,000186.OF,华泰柏瑞季季红债券A,011759076,6.970,5.6550192042127422
1069,161115.SZ,易方达岁丰添利债券A,101758039,8.220,6.4717177921273934
1070,519137.OF,海富通瑞福债券A,011759080,2.970,2.5273148101355381
1071,003417.OF,中加丰泽纯债,011754135,8.030,7.9653978658758318
1072,000244.OF,天弘稳利定期开放A,011761063,5.730,3.6607798529243955
1073,519762.OF,交银裕通纯债债券A,011761063,4.150,3.5952665322503509
1074,003660.OF,中加纯债两年债券A,041754035,8.920,7.8201912511231224
1075,003983.OF,鹏华丰惠债券,146350,2.000,1.5866877490220477
1076,004438.OF,鹏华永安定期开放债券,146350,2.620,1.7236946443221602
1077,004821.OF,国寿安保安吉纯债半年定开债券发起式,1780267,3.270,2.3586562195194297
1078,002930.OF,博时聚润纯债债券,011760132,6.000,6.1263979066354513
1079,004910.OF,中加颐享纯债债券A,041772014,6.250,5.2414321180795862
1080,003983.OF,鹏华丰惠债券,146418,2.000,1.5866877490220477
1081,003859.OF,招商招旭纯债A,101782007,7.140,5.7691111400398674
1082,003673.OF,中加丰裕纯债债券A,041751021,6.670,6.8060384056387980
1083,003056.OF,嘉实稳泽纯债债券A,111783951,18.660,13.9672291477850353
1084,004238.OF,永赢瑞益债券A,111712194,7.580,5.5721322994036398
1085,001299.OF,兴业添利债券,116643,1.490,1.5290015044841527
1086,001246.OF,兴银长乐定开债,116643,2.960,3.1513686235902770
1087,003329.OF,万家鑫安纯债A,1789243,0.810,0.74158667951408440527
1088,000345.OF,鹏华丰融定期开放债券,041759020,8.650,6.1440658346820626
1089,000032.OF,易方达信用债债券A,011766024,5.780,5.0311855555076886
1090,004911.OF,中加纯债定开债券A,111784163,9.710,8.9397939613039085
1091,519324.OF,浦银安盛盛鑫定开债券A,170415,8.660,6.4213541260154177
1092,002341.OF,招商招瑞纯债债券发起式A,170415,24.670,24.7730774708982377
1093,003285.OF,国寿安保安康纯债债券,170415,3.530,3.3111889507551327
1094,003265.OF,招商招坤纯债A,170209,12.530,10.6397472411265157
1095,002929.OF,博时聚盈纯债债券,170209,6.560,6.6535392568958747
1096,003039.OF,广发集富纯债A,170209,34.950,39.1279659448847077
1097,004705.OF,南方祥元A,011756044,5.900,5.9179193343346393
1098,004705.OF,南方祥元A,011769035,5.900,5.9161446684007125
1099,003214.OF,易方达富惠纯债债券A,111714256,4.410,4.1824105268537462
1100,004689.OF,博时丰庆纯债债券,111784295,18.750,19.7199020186859047
1101,002638.OF,兴业天融债券,1789256,2.350,2.4704315940189323
1102,003983.OF,鹏华丰惠债券,116638,0.670,0.52889591634068255012
1103,004438.OF,鹏华永安定期开放债券,116638,3.270,2.1546183054027002
1104,004503.OF,鹏华永泰定期开放债券,116638,4.780,3.2412095650481091
1105,004052.OF,华夏鼎智债券A,011766025,4.730,4.3823660393369732
1106,002578.OF,博时裕泉纯债债券,011751091,4.200,3.9934752859522182
1107,000137.OF,民生加银岁岁增利债券A,111719297,8.020,5.8367448941475334
1108,004728.OF,中欧瑾泰债券A,111713099,8.540,11.3519861222747188
1109,004919.OF,兴全兴泰债券,111784637,4.810,3.7528159051315520
1110,004919.OF,兴全兴泰债券,111784712,4.810,3.7543716377070030
1111,004919.OF,兴全兴泰债券,111784668,4.750,3.7065328610118863
1112,004911.OF,中加纯债定开债券A,111784631,9.460,8.7088294259083184
1113,002698.OF,博时裕利纯债债券,111718364,16.380,12.0134901513876624
1114,002698.OF,博时裕利纯债债券,111717215,7.300,5.3541901979251751
1115,004919.OF,兴全兴泰债券,111784745,4.750,3.7030324627171216
1116,004705.OF,南方祥元A,011759084,5.880,5.9025388962406068
1117,003223.OF,广发景丰纯债,011756046,5.000,5.0948389464941257
1118,001299.OF,兴业添利债券,1789265,0.900,0.92629921121441224674
1119,003329.OF,万家鑫安纯债A,1789253,0.100,0.08888187666176123823
1120,000116.OF,嘉实丰益纯债定期债券,041754039,2.530,2.2696862339685102
1121,002868.OF,鹏华丰茂债券,116665,2.690,2.1445864071288197
1122,003209.OF,鹏华丰达债券,116665,2.800,2.9099837979377090
1123,003983.OF,鹏华丰惠债券,116665,2.000,1.5866877490220477
1124,004438.OF,鹏华永安定期开放债券,116665,3.270,2.1546183054027002
1125,004141.OF,兴业瑞丰6个月定开债券,116665,1.630,1.6373115784660273
1126,000265.OF,易方达恒久1年定期债券A,041776005,5.180,3.3847729735653576
1127,005024.OF,南方兴利半年定开债券发起,112587,3.260,2.7221068987768772
1128,004032.OF,工银丰淳半年定开债券,011769036,5.520,25.4637522583271839
1129,005024.OF,南方兴利半年定开债券发起,116686,1.290,1.0752142454468614
1130,003155.OF,中加丰尚纯债债券A,1789219,1.310,1.3710085841726085
1131,003285.OF,国寿安保安康纯债债券,1789220,1.510,1.4212187917393450
1132,003155.OF,中加丰尚纯债债券A,1789220,1.460,1.5233259302122477
1133,002868.OF,鹏华丰茂债券,146469,3.370,2.6807330089110246
1134,650001.OF,英大纯债债券A,011751094,7.640,8.3839231323926590
1135,002754.OF,博时裕创纯债,011751094,6.460,5.4234995891671785
1136,164703.SZ,汇添富纯债(LOF),011751094,9.570,9.3268623793728170
1137,004052.OF,华夏鼎智债券A,011769037,4.740,4.3915708489815097
1138,164703.SZ,汇添富纯债(LOF),011758092,9.560,9.3156667858395096
1139,650001.OF,英大纯债债券A,011754150,7.630,8.3814072006734254
1140,004122.OF,兴银长益三个月定开债,011754150,3.650,3.3251324650938825
1141,002395.OF,鹏华丰尚定期开放债券A,128016,6.930,5.3904783600802537
1142,004122.OF,兴银长益三个月定开债,011760148,3.310,3.0183107018003396
1143,004032.OF,工银丰淳半年定开债券,111705099,16.160,74.5362477416728161
1144,000137.OF,民生加银岁岁增利债券A,111785693,8.020,5.8336751850415338
1145,519743.OF,交银丰润收益债券A,011764106,7.920,8.0333194053187044
1146,001246.OF,兴银长乐定开债,111785765,4.540,4.8274986369485441
1147,161115.SZ,易方达岁丰添利债券A,143320,12.290,9.6781627602397990
1148,001819.OF,兴全稳益定开债券,011759089,2.860,2.9243765972554184
1149,004919.OF,兴全兴泰债券,111785895,3.900,3.0420794780367859
1150,005073.OF,永赢永益债券A,111785951,2.090,8.1692402793607114
1151,003452.OF,招商招盛纯债A,1789274,0.710,0.72010250107672984082
1152,519743.OF,交银丰润收益债券A,011754154,3.970,4.0210855522766269
1153,004899.OF,中银信享定期开放债券,143327,3.930,4.9418189817433025
1154,005024.OF,南方兴利半年定开债券发起,143327,3.290,2.7453420353988931
1155,003285.OF,国寿安保安康纯债债券,1789287,0.150,0.14205075422189069383
1156,003285.OF,国寿安保安康纯债债券,1789288,0.820,0.76672698303223597009
1157,003571.OF,招商招琪纯债A,1789288,2.110,2.1405496552914169
1158,003571.OF,招商招琪纯债A,1789289,0.640,0.65096802287542007625
1159,003155.OF,中加丰尚纯债债券A,1789278,2.440,2.5468558040501838
1160,003452.OF,招商招盛纯债A,1789278,0.810,0.82779350574225880801
1161,003315.OF,景顺长城政策性金融债A,071721010,9.400,11.8031457025320333
1162,003289.OF,创金合信尊泰纯债,1789281,7.600,8.2274092143688943
1163,005073.OF,永赢永益债券A,111786132,1.410,5.5181949103279367
1164,000265.OF,易方达恒久1年定期债券A,011773003,5.190,3.3932663314233455
1165,003452.OF,招商招盛纯债A,1789292,0.560,0.56808987225208633301
1166,004821.OF,国寿安保安吉纯债半年定开债券发起式,101773021,3.610,2.6008667084160754
1167,004910.OF,中加颐享纯债债券A,011762080,6.230,5.2241457639024299
1168,004238.OF,永赢瑞益债券A,170211,3.850,2.8348918491724220
1169,003289.OF,创金合信尊泰纯债,112595,6.750,7.2994167516310695
1170,005024.OF,南方兴利半年定开债券发起,146560,1.660,1.3830438465485607
1171,004555.OF,南方和元A,111786445,3.910,3.1344321706916664
1172,004728.OF,中欧瑾泰债券A,111721168,8.530,11.3437395570136226
1173,005073.OF,永赢永益债券A,111786429,1.410,5.5159612754725115
1174,004978.OF,富国聚利纯债三个月定开债发起式,111712221,6.490,7.5374879465794056
1175,004978.OF,富国聚利纯债三个月定开债发起式,111786473,6.490,7.5374879465794056
1176,004728.OF,中欧瑾泰债券A,111786477,8.640,11.4898215702101840
1177,004728.OF,中欧瑾泰债券A,111786507,8.640,11.4898215702101840
1178,005024.OF,南方兴利半年定开债券发起,116687,2.350,1.9586196719912891
1179,005024.OF,南方兴利半年定开债券发起,146563,0.230,0.19362613851679850356
1180,002868.OF,鹏华丰茂债券,146566,3.370,2.6807330089110246
1181,005024.OF,南方兴利半年定开债券发起,146566,1.660,1.3830438465485607
1182,003949.OF,兴全稳泰债券A,111714284,6.000,6.4858436423211432
1183,003605.OF,景顺长城景泰汇利定期开放债券A,111714285,3.290,2.4823345747679559
1184,003547.OF,鹏华丰禄债券,011754166,5.790,4.6417402413229278
1185,004499.OF,鹏华丰瑞债券,011754166,5.950,4.8048946809313152
1186,002377.OF,建信睿怡纯债A,111786690,4.140,3.4099587480439711
