,thscode,ths_jjggbl_fund
0,460008.OF,100.04472996194
1,485022.OF,122.7127675889
2,485105.OF,100.87219280454
3,485107.OF,131.25584287029
4,485120.OF,127.24625683888
5,519137.OF,105.00446965636
6,519138.OF,143.28233406296
7,519225.OF,124.74651810751
8,519322.OF,131.16132805998
9,519324.OF,108.42521197272
10,519328.OF,100.04360265961
11,519330.OF,110.47771084452
12,519332.OF,119.38546079256
13,519334.OF,103.92373703942
14,519680.OF,127.06580557664
15,519718.OF,126.30756241212
16,519743.OF,109.20042657645
17,519746.OF,125.21890065346
18,519762.OF,132.77015660495
19,519776.OF,111.22379832049
20,519782.OF,130.24797003105
21,519784.OF,109.19618096682
22,530021.OF,121.40375724602
23,530029.OF,109.83843928635
24,531028.OF,116.73005373502
25,650001.OF,126.26570868846
26,675041.OF,128.48176059573
27,960040.OF,
28,970096.OF,100.45914351331
29,970098.OF,100.52581261298
30,970132.OF,101.30792109792
31,H000355.OF,
32,H202108.OF,
33,H217003.OF,
34,160128.SZ,154.02544617208
35,160515.SZ,147.68818091366
36,160618.SZ,113.35268858604
37,161014.SZ,142.81408639377
38,161019.SZ,132.88925631173
39,161115.SZ,110.87263764341
40,161117.SZ,158.77679872068
41,162715.SZ,103.93379269638
42,164703.SZ,131.39447199156
43,000005.OF,132.27579479679
44,000032.OF,139.33781236243
45,000037.OF,131.90708520803
46,000053.OF,153.7274790362
47,000084.OF,122.20343211107
48,000090.OF,130.42851412083
49,000111.OF,153.76799412381
50,000116.OF,138.92209494443
51,000137.OF,126.08408108785
52,000139.OF,114.03452162595
53,000147.OF,122.19222758875
54,000183.OF,144.00041157298
55,000186.OF,123.57711251033
56,000187.OF,123.56224181322
57,000191.OF,117.76432124926
58,000205.OF,110.15261527241
59,000207.OF,104.5624411221
60,000244.OF,126.67765145117
61,000252.OF,130.46871297487
62,000254.OF,121.55932966363
63,000265.OF,148.46431161933
64,000295.OF,130.44252467761
65,000345.OF,112.60604750347
66,000346.OF,130.34643622977
67,000355.OF,105.16991612668
68,000402.OF,120.65637219604
69,000469.OF,136.53725256635
70,000516.OF,143.20342093484
71,000546.OF,100.17954331938
72,000552.OF,136.46178318297
73,000606.OF,122.87964872197
74,000783.OF,100.19372999662
75,000799.OF,100.03163713472
76,000815.OF,132.0273739042
77,000914.OF,123.35388267192
78,000931.OF,122.56442024449
79,000943.OF,114.57479585039
80,001246.OF,154.83729482562
81,001299.OF,104.2228308695
82,001368.OF,127.56125530012
83,001369.OF,100.03359599224
84,001545.OF,100.99742344038
85,001578.OF,117.69434396627
86,001619.OF,123.89408067683
87,001783.OF,109.46316903711
88,001785.OF,126.08408108785
89,001819.OF,141.4119768784
90,001911.OF,125.97338958253
91,001960.OF,130.45461636295
92,001961.OF,119.00336893859
93,001993.OF,136.90722025161
94,002109.OF,131.68225611588
95,002140.OF,122.87402907191
96,002143.OF,130.79893519037
97,002169.OF,122.01015015265
98,002175.OF,116.55962813461
99,002188.OF,113.64586531531
100,002198.OF,120.53640115204
101,002206.OF,136.89843857981
102,002268.OF,117.17466142839
103,002301.OF,112.24504673481
104,002336.OF,102.14526642071
105,002341.OF,127.45016291876
106,002354.OF,118.87574419388
107,002377.OF,120.25395589284
108,002395.OF,129.07150331982
109,002438.OF,134.5429267799
110,002445.OF,133.94777054639
111,002447.OF,100.05545152744
112,002466.OF,130.56057427196
113,002483.OF,104.25666177711
114,002524.OF,124.77945084875
115,002548.OF,123.12323164956
116,002549.OF,112.93911789239
117,002550.OF,136.54631624736
118,002552.OF,137.35351715653
119,002568.OF,128.18578475525
120,002578.OF,100.03956861724
121,002600.OF,147.64611773741
122,002603.OF,111.31095070767
123,002625.OF,119.73975529437
124,002638.OF,133.85184055947
125,002698.OF,113.50790994098
126,002716.OF,132.3367661277
127,002750.OF,152.53170107051
128,002754.OF,134.16001853189
129,002755.OF,116.00494684573
130,002781.OF,106.67744095323
131,002832.OF,105.71599760791
132,002864.OF,102.94406862463
133,002868.OF,127.78128911188
134,002898.OF,129.7579132413
135,002904.OF,126.91446363888
136,002927.OF,126.24180978794
137,002929.OF,116.85442216634
138,002930.OF,135.73871705481
139,002970.OF,103.89639756303
140,002985.OF,100.35960598722
141,002991.OF,102.80293466886
142,002994.OF,117.72969333818
143,003039.OF,137.12584917351
144,003056.OF,104.66804341254
145,003102.OF,134.58845651145
146,003155.OF,101.69856436633
147,003162.OF,104.74099449765
148,003188.OF,137.4229854346
149,003192.OF,121.90400410511
150,003193.OF,125.15888760523
151,003209.OF,126.0191252126
152,003213.OF,100.04280538095
153,003214.OF,135.09060269393
154,003223.OF,120.87320533255
155,003258.OF,130.61505386332
156,003260.OF,136.57746289581
157,003265.OF,107.80045443672
158,003268.OF,127.71111232991
159,003269.OF,120.17125803651
160,003280.OF,120.58128996224
161,003285.OF,125.54804134539
162,003289.OF,121.35140622722
163,003290.OF,117.30618455122
164,003309.OF,146.15320289454
165,003313.OF,100.0339000499
166,003315.OF,133.78376414821
167,003327.OF,110.16588153606
168,003329.OF,120.6644939081
169,003417.OF,130.67462958218
170,003428.OF,136.01694118049
171,003445.OF,122.06546486874
172,003452.OF,122.20527858699
173,003454.OF,112.50514107408
174,003528.OF,172.40082347945
175,003547.OF,136.44887936172
176,003571.OF,126.53988663948
177,003590.OF,107.24190980228
178,003605.OF,137.24039175582
179,003607.OF,125.39601495795
180,003640.OF,103.06607032853
181,003651.OF,122.6750005613
182,003660.OF,127.57958021108
183,003662.OF,138.43670147749
184,003671.OF,137.98970451236
185,003673.OF,106.90891886892
186,003703.OF,121.63448770347
187,003730.OF,136.92861253985
188,003746.OF,121.19616554379
189,003770.OF,100.03525673514
190,003809.OF,119.09580929385
191,003832.OF,100.0343661981
192,003847.OF,129.82421603423
193,003859.OF,116.94557559819
194,003863.OF,129.70166293372
195,003869.OF,104.40491448938
196,003880.OF,104.51916331743
197,003929.OF,100.03391741748
198,003949.OF,116.80793798288
199,003983.OF,130.36591427179
200,004020.OF,100.04198721476
201,004027.OF,118.72980707635
202,004030.OF,123.61856568758
203,004031.OF,125.67118287232
204,004032.OF,124.67540824707
205,004042.OF,138.69180849636
206,004052.OF,100.04482109499
207,004061.OF,118.37217218239
208,004118.OF,110.41892095773
209,004122.OF,128.09187767157
210,004126.OF,107.80775712049
211,004127.OF,120.41415305541
212,004136.OF,120.08151984182
213,004140.OF,129.57439445958
214,004141.OF,114.14493800947
215,004200.OF,131.28526002656
216,004230.OF,124.37448596608
217,004238.OF,114.63362872373
218,004307.OF,126.88798154323
219,004322.OF,126.30415211008
220,004334.OF,130.06854204901
221,004366.OF,125.23716934697
222,004388.OF,126.62439703306
223,004438.OF,134.39973210095
224,004459.OF,128.05847077553
225,004479.OF,128.25713991289
226,004498.OF,118.40731957185
227,004499.OF,122.32672096078
228,004503.OF,152.84301266272
229,004504.OF,141.95227580498
230,004544.OF,103.98828645906
231,004547.OF,109.15818169353
232,004555.OF,128.29291762156
233,004601.OF,126.97325656809
234,004614.OF,100.38689329372
235,004637.OF,110.15154130197
236,004639.OF,131.28227800479
237,004655.OF,115.43548627888
238,004672.OF,135.96408229095
239,004689.OF,123.36327607744
240,004705.OF,134.2009312661
241,004722.OF,100.03384226472
242,004728.OF,119.44913394909
243,004736.OF,152.0012247276
244,004797.OF,152.10658307401
245,004821.OF,147.06489693243
246,004839.OF,130.29486959751
247,004859.OF,166.46659039509
248,004882.OF,100.03428576274
249,004887.OF,102.90187411258
250,004899.OF,104.44799659446
251,004910.OF,111.67837007184
252,004911.OF,119.08576574097
253,004919.OF,143.54124253932
254,004920.OF,134.31265487914
255,004923.OF,116.7031171512
256,004940.OF,137.11833417761
257,004954.OF,125.78045407559
258,004956.OF,109.46900894052
259,004978.OF,144.88020025845
260,005024.OF,159.58397065768
261,005072.OF,117.10000859624
262,005073.OF,127.59467308136
263,005099.OF,119.83895287394
264,005124.OF,159.42403874627
265,005171.OF,113.62675633172
266,005200.OF,106.72324129542
267,005307.OF,109.01302689978
268,005309.OF,100.03486753564
269,005321.OF,100.0338851595
270,005322.OF,103.27988851351
271,005336.OF,124.23299932128
272,005362.OF,130.1762930333
273,005364.OF,124.03900727035
274,005369.OF,154.55037843234
275,005383.OF,114.49937276722
276,005388.OF,134.16071125659
277,005393.OF,126.0690183651
278,005398.OF,139.3847269707
279,005419.OF,129.66399121974
280,005432.OF,150.4464749844
281,005435.OF,100.04395088833
282,005439.OF,138.43147407455
283,005442.OF,104.72594234268
284,005462.OF,148.62822192438
285,005469.OF,126.73923859085
286,005525.OF,147.73994169616
287,005531.OF,127.4572891051
288,005577.OF,122.53588687822
289,005590.OF,127.37345471767
290,005594.OF,125.69562090736
291,005606.OF,114.15359160916
292,005622.OF,126.1140459081
293,005631.OF,124.73974821622
294,005648.OF,117.83477979868
295,005666.OF,117.19364396636
296,005670.OF,133.4288186392
297,005684.OF,121.41156129877
298,005703.OF,115.13372328791
299,005705.OF,137.95009626578
300,005709.OF,124.7409002138
301,005710.OF,131.61234036578
302,005712.OF,135.41428837817
303,005718.OF,181.03746491867
304,005719.OF,121.72719272428
305,005736.OF,146.35836298749
306,005740.OF,141.20294669148
307,005754.OF,130.88986326619
308,005772.OF,100.03515294252
309,005781.OF,100.76911252071
310,005782.OF,134.63807821808
311,005784.OF,116.27694835762
312,005791.OF,132.89185420082
313,005816.OF,120.68335119581
314,005820.OF,131.40459771743
315,005831.OF,130.2311768784
316,005836.OF,125.39644242697
317,005841.OF,149.08560735732
318,005842.OF,125.05805634118
319,005845.OF,100.04176758222
320,005853.OF,126.06171980851
321,005854.OF,117.87850934984
322,005862.OF,126.18089365759
323,005864.OF,125.91872736647
324,005871.OF,105.34658746343
325,005879.OF,131.55912633545
326,005897.OF,113.67212439844
327,005898.OF,132.28516856268
328,005920.OF,113.23794396037
329,005921.OF,151.75856014772
330,005971.OF,113.021107875
331,005972.OF,124.77953063232
332,005988.OF,114.33272852611
333,006029.OF,100.03725001949
334,006032.OF,100.10571017188
335,006043.OF,115.61503575991
336,006045.OF,138.07040168063
337,006053.OF,111.68286808145
338,006066.OF,116.11868412661
339,006076.OF,120.8618203601
340,006082.OF,114.02766516809
341,006088.OF,137.53996422856
342,006097.OF,106.19429932954
343,006107.OF,120.09721927887
344,006112.OF,100.05442026059
345,006116.OF,124.46466436924
346,006120.OF,153.93288851688
347,006137.OF,131.83827941181
348,006150.OF,159.40796578979
349,006151.OF,102.09579779136
350,006169.OF,100.86393114625
351,006171.OF,137.01422986932
352,006172.OF,100.04836345426
353,006191.OF,122.63409743958
354,006275.OF,135.52134705991
355,006287.OF,135.26701671798
356,006319.OF,111.47168185732
357,006325.OF,100.36826967342
358,006332.OF,122.68528504268
359,006360.OF,111.82697707996
360,006367.OF,132.37024085543
361,006378.OF,118.09097138112
362,006393.OF,113.37595864152
363,006405.OF,133.06785148684
364,006411.OF,114.10965547753
365,006421.OF,142.2736773734
366,006427.OF,100.02217269273
367,006434.OF,117.27176546557
368,006436.OF,135.27748058916
369,006450.OF,138.04763130927
370,006464.OF,100.02655292838
371,006468.OF,135.74412761109
372,006489.OF,115.08877526165
373,006504.OF,124.4160926218
374,006517.OF,109.96954795404
375,006552.OF,113.12454346784
376,006570.OF,107.43368767234
377,006582.OF,129.35318874359
378,006591.OF,131.1193644974
379,006597.OF,116.24949716367
380,006599.OF,135.74224193137
381,006617.OF,112.84428393467
382,006626.OF,101.08083812451
383,006629.OF,103.61767884341
384,006635.OF,130.05741799164
385,006646.OF,125.1939164672
386,006653.OF,108.22679346394
387,006660.OF,134.25551217587
388,006662.OF,122.05074627876
389,006664.OF,122.05074627876
390,006665.OF,103.87781129908
391,006668.OF,132.40091527911
392,006683.OF,114.03452162595
393,006684.OF,117.76432124926
394,006707.OF,130.98666716938
395,006714.OF,103.42598931636
396,006740.OF,109.11126113267
397,006750.OF,137.81329290783
398,006758.OF,131.89784148923
399,006764.OF,106.98339897883
400,006771.OF,116.43646544887
401,006772.OF,106.27196979241
402,006776.OF,100.04961315149
403,006782.OF,139.50376812997
404,006791.OF,100.01944396871
405,006793.OF,112.79603506364
406,006797.OF,116.89965535979
407,006804.OF,131.04373860054
408,006806.OF,101.80723279337
409,006824.OF,110.60533537785
410,006829.OF,119.95817108088
411,006834.OF,129.32743831438
412,006838.OF,104.59853319447
413,006841.OF,139.30801904364
414,006846.OF,171.11456453293
415,006850.OF,121.9745202859
416,006852.OF,125.42263538899
417,006869.OF,117.27199274566
418,006874.OF,123.68781063437
419,006884.OF,125.86833772791
420,006885.OF,125.86833772791
421,006893.OF,110.5738102788
422,006901.OF,116.23267813681
423,006907.OF,134.08417319632
424,006915.OF,108.96203017879
425,006919.OF,126.4230070713
426,006929.OF,108.7048221062
427,006934.OF,100.11274880384
428,006936.OF,131.92054123186
429,006944.OF,125.96208554415
430,006953.OF,128.79785566681
431,006955.OF,124.78360739222
432,006956.OF,107.03010911453
433,006958.OF,117.4872670343
434,006963.OF,113.87819840416
435,006965.OF,109.96746742783
436,006970.OF,104.89243204119
437,006984.OF,151.08500128496
438,006985.OF,117.4952581356
439,006986.OF,139.42995544023
440,006995.OF,126.98393245316
441,006998.OF,126.4939647078
442,007017.OF,128.25336871444
443,007050.OF,120.30778952334
444,007053.OF,127.52721481507
445,007061.OF,109.9337185303
446,007068.OF,100.0274326883
447,007086.OF,129.97019005925
448,007104.OF,175.17600044527
449,007105.OF,110.85909199242
450,007121.OF,100.9627830951
451,007145.OF,150.27766660914
452,007158.OF,113.00070238721
453,007167.OF,119.99828688959
454,007175.OF,133.26848077275
455,007184.OF,121.36609131816
456,007199.OF,100.03766034053
457,007201.OF,107.34621082186
458,007213.OF,123.61228097954
459,007215.OF,131.56661936094
460,007220.OF,111.1400094204
461,007268.OF,143.25925505956
462,007278.OF,135.81282113106
463,007295.OF,127.21894193562
464,007321.OF,116.07018804124
465,007342.OF,131.66544038711
466,007347.OF,120.61059171388
467,007373.OF,125.8414552465
468,007374.OF,118.37468604721
469,007408.OF,130.77461521121
470,007417.OF,138.86401054645
471,007427.OF,127.24487776255
472,007440.OF,120.1642118618
473,007447.OF,108.51021599732
474,007451.OF,157.67437230913
475,007454.OF,116.20287332573
476,007496.OF,175.68705908221
477,007513.OF,133.07659656576
478,007515.OF,120.58074178915
479,007517.OF,126.84502128525
480,007525.OF,149.21779450878
481,007529.OF,134.44575640944
482,007535.OF,172.43663131732
483,007537.OF,135.90616853025
484,007542.OF,125.6253608143
485,007544.OF,138.91335876158
486,007555.OF,132.82356670588
487,007562.OF,120.25983367012
488,007572.OF,129.33499094969
489,007573.OF,168.13796073124
490,007576.OF,112.62227762676
491,007584.OF,119.65770427608
492,007585.OF,100.03520022992
493,007589.OF,172.06213910809
494,007595.OF,125.64014974563
495,007600.OF,157.87506019231
496,007603.OF,128.8771368754
497,007616.OF,114.27375161565
498,007618.OF,114.27375161565
499,007619.OF,168.38856568919
