,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype
198,004030.OF,嘉实丰安6个月定期债券,王亚洲,中长期纯债券型基金,稳定大基金公司,稳定短,稳定中,稳定信用债
199,004031.OF,鑫元添利三个月定期开放债券,郭卉,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
200,004032.OF,工银丰淳半年定开债券,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
201,004042.OF,华夏鼎茂债券A,刘明宇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,轮动基金
202,004052.OF,华夏鼎智债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
203,004061.OF,华夏鼎隆债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
204,004118.OF,博时裕鹏纯债债券,王帅,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
205,004122.OF,兴银长益三个月定开债,范泰奇,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
206,004126.OF,浦银安盛稳健增利债券(LOF)A,章潇枫,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,
207,004127.OF,鹏华丰康债券A,"杜培俊,应琛,祝松",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
208,004136.OF,博时民泽纯债债券,倪玉娟,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
209,004140.OF,兴业福鑫债券,伍方方,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
210,004141.OF,兴业瑞丰6个月定开债券,冯小波,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
211,004200.OF,博时富瑞纯债债券A,倪玉娟,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
212,004230.OF,永赢添益债券,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
213,004238.OF,永赢瑞益债券A,"余国豪,杨凡颖",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
214,004307.OF,博时富元纯债债券,"王帅,李汉楠",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
215,004322.OF,创金尊隆纯债A,郑振源,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
216,004334.OF,博时广利3个月定开债发起式,于渤洋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
217,004366.OF,博时汇享纯债债券A,王帅,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
218,004388.OF,鹏华丰享债券,方昶,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
219,004438.OF,鹏华永安定期开放债券,邓明明,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
220,004459.OF,鑫元瑞利定开债券,郭卉,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
221,004479.OF,博时富和纯债债券,李秋实,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
222,004498.OF,鹏华丰源债券,刘涛,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
223,004499.OF,鹏华丰瑞债券,刘涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,轮动基金
224,004503.OF,鹏华永泰定期开放债券,"祝松,应琛",混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
225,004504.OF,鹏华永泽定期开放债券,"方昶,王石千",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
226,004544.OF,嘉实稳华纯债债券A,王亚洲,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,轮动基金
227,004547.OF,华夏稳定双利债券A,张海静,混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,
228,004555.OF,南方和元A,"黄斌斌,施彦珏",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
229,004601.OF,博时富腾纯债债券,郭思洁,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
230,004614.OF,鹏扬利泽债券A,"焦翠,陈钟闻",短期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
231,004637.OF,华夏鼎兴债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
232,004639.OF,华夏恒慧一年定开债券,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
233,004655.OF,汇添富鑫汇债券A,杨靖,混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
234,004672.OF,华夏短债债券A,刘明宇,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,轮动基金
235,004689.OF,博时丰庆纯债债券,李汉楠,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
236,004705.OF,南方祥元A,黄斌斌,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
237,004722.OF,中银丰和定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
238,004728.OF,中欧瑾泰债券A,LI TONG,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
239,004736.OF,富国鼎利纯债三个月定开债,武磊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
240,004797.OF,国寿安保安盛纯债3个月定开债券发起式,"卢珊,黄力",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
241,004821.OF,国寿安保安吉纯债半年定开债券发起式,"吴闻,李一鸣",混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
242,004839.OF,银华安颐中短债双月持有期债券A,王树丽,短期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
243,004859.OF,泰康年年红纯债一年债券,经惠云,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
244,004882.OF,中银丰荣定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
245,004887.OF,长信稳通三个月定开债券发起式,"邹依恩,杜国昊",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
246,004899.OF,中银信享定期开放债券,白洁,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
247,004910.OF,中加颐享纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
248,004911.OF,中加纯债定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
249,004919.OF,兴全兴泰债券,"王帅,田志祥,季伟杰",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
250,004920.OF,富国泓利纯债债券型发起式A,武磊,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
251,004923.OF,华夏鼎祥三个月定期开放债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
252,004940.OF,中加聚鑫纯债一年A,袁素,混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
253,004954.OF,中银证券中高等级债券A,王玉玺,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
254,004956.OF,中银证券安誉债券A,余亮,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,轮动基金
255,004978.OF,富国聚利纯债三个月定开债发起式,"刘瀚驰,朱梦娜",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
256,005024.OF,南方兴利半年定开债券发起,"李璇,杜才超",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
257,005072.OF,中银丰进定期开放债券,易芳菲,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
258,005073.OF,永赢永益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
259,005099.OF,易方达富华纯债债券A,藏海涛,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
260,005124.OF,易方达恒益定开债券发起式,胡剑,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
261,005171.OF,富国景利纯债债券,"朱梦娜,陈倩",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
262,005200.OF,浦银普瑞A,章潇枫,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,轮动基金
263,005307.OF,财通资管鸿达纯债债券A,"王珊,陈希希",中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
264,005309.OF,中银证券汇嘉定期开放债券,"吕文晔,余亮",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
265,005321.OF,中银证券汇宇定期开放债券,余亮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
266,005322.OF,中银丰禧定期开放债券,郑涛,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
267,005336.OF,中加颐慧定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
268,005362.OF,中银证券安源债券A,吕文晔,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
269,005364.OF,华夏鼎顺三个月定开债券A,张海静,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
270,005369.OF,富国臻利纯债定期开放债券型发起式,武磊,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
271,005383.OF,富国绿色纯债一年定开债券,朱梦娜,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
272,005388.OF,兴业安弘3个月定开债券发起式,刘禹含,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
273,005393.OF,南方卓利3个月定开债发起式,"金凌志,李璇",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,轮动基金
274,005398.OF,鹏扬淳优债券,"王莹莹,陈钟闻",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
275,005419.OF,中欧聚瑞债券A,"周锦程,LI TONG",混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
276,005432.OF,上银聚鸿益三个月定开债券发起式,"蔡唯峰,许佳",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
277,005435.OF,国投瑞银顺银债券,李鸥,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
278,005439.OF,易方达恒安定开债券发起式,李一硕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
279,005442.OF,兴业安和6个月定开债券发起式,冯小波,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
280,005462.OF,博时富业3个月定开债发起式,"倪玉娟,吕瑞君",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
281,005469.OF,南方浙利定开债券发起,黄斌斌,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
282,005525.OF,工银瑞祥定开发起式债券,"赵建,李娜",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
283,005531.OF,华安安悦债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,轮动基金
284,005577.OF,交银丰晟收益债券A,于海颖,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
285,005590.OF,添富鑫永定开债A,胡娜,混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
286,005594.OF,招商添润3个月定开债发起式A,李家辉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
287,005606.OF,招商招鸿6个月定开债发起式,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
288,005622.OF,博时富安3个月定开债发起式,"李秋实,黄海峰",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
289,005631.OF,博时富乾3个月定开债发起式,于渤洋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
290,005648.OF,招商添琪3个月定开债发起式A,"姜南林,李家辉",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
291,005666.OF,上银慧佳盈债券,楼昕宇,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
292,005670.OF,嘉实致兴定期纯债债券,"王立芹,赵国英",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
293,005684.OF,财通资管鸿睿12个月定开债券A,"陈希希,顾宇笛",混合债券型基金(一级),稳定小基金公司,稳定中,稳定中,稳定信用债
294,005703.OF,永赢增益债券A,谢越,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
295,005705.OF,永赢恒益债券,章成,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
296,005709.OF,华安鼎益债券A,郑如熙,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
297,005710.OF,兴业嘉润3个月定开债券发起式,雷志强,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
298,005712.OF,兴全祥泰定期开放债券,"石广翔,王健,翟秀华",中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
299,005718.OF,长信富瑞两年定开债券A,"杜国昊,邹依恩",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
300,005719.OF,招商招诚半年定开债发起式,李家辉,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
301,005736.OF,中欧兴华债券,"洪慧梅,周锦程,LI TONG",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
302,005740.OF,易方达恒信定开债券发起式,胡剑,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
303,005754.OF,平安短债A,欧阳亮,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
304,005772.OF,工银瑞景定开发起式债券,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
305,005781.OF,华富富瑞3个月定期开放债券,倪莉莎,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
306,005782.OF,创金合信汇益纯债一年定开债券A,郑振源,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
307,005784.OF,创金合信汇誉纯债六个月定开债券A,郑振源,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,稳定信用债
308,005791.OF,华夏鼎福三个月定开债券A,孙蕾,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
309,005816.OF,国泰农惠定期开放债券,刘嵩扬,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
310,005820.OF,博时富兴纯债3个月定开债发起式,陈黎,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
311,005831.OF,鹏华尊悦定开债发起式,刘涛,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
312,005836.OF,创金合信泰盈双季红定开债券A,郑振源,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
313,005841.OF,富国尊利纯债定期开放债券型发起式,武磊,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
314,005842.OF,海富通弘丰定开债券,"陈轶平,方昆明",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
315,005845.OF,长城久荣定期开放债券型发起式,吴冰燕,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
316,005853.OF,财通聚利债券,罗晓倩,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
317,005854.OF,财通汇利债券,闫梦璇,中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
318,005862.OF,华夏鼎禄三个月定开债券A,孙蕾,混合债券型基金(一级),稳定小基金公司,稳定长,稳定中,稳定信用债
319,005864.OF,国投瑞银顺达纯债债券,"敬夏玺,李鸥",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
320,005871.OF,天弘荣享,"任明,刘洋",混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
321,005879.OF,中加颐兴定开债券,"颜灵珊,闫沛贤",中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
322,005897.OF,平安合颖定开债,"张文平,张恒",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
323,005898.OF,浦银安盛盛泽定开债券,陶祺,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
324,005920.OF,富国颐利纯债债券,"吕春杰,李金柳",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
325,005921.OF,农银金鑫定开债券,郭振宇,混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
326,005931.OF,国联恒裕纯债A,哈默,混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
327,005971.OF,平安惠锦债券,欧阳亮,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
328,005972.OF,交银裕如纯债债券A,"于海颖,张顺晨",中长期纯债券型基金,稳定小基金公司,稳定短,稳定中,轮动基金
329,005988.OF,兴业纯债6个月定开债券A,伍方方,混合债券型基金(一级),稳定小基金公司,稳定长,稳定小,稳定信用债
330,006029.OF,鹏华尊享定期开放发起式债券,应琛,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
331,006032.OF,创金合信汇泽三个月定开债券A,郑振源,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
332,006043.OF,永赢惠益债券A,吴玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
333,006045.OF,长城久瑞三个月定期开放债券发起式,"张棪,吴冰燕",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
334,006053.OF,中航瑞景3个月定开A,茅勇峰,混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,稳定信用债
335,006066.OF,中加颐睿纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
336,006076.OF,创金合信恒利超短债债券A,"谢创,吕沂洋,郑振源",混合债券型基金(一级),稳定小基金公司,稳定短,稳定中,稳定信用债
337,006082.OF,鑫元全利一年定期开放债券发起式A,郭卉,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
338,006088.OF,永赢润益债券A,章成,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
339,006097.OF,平安高等级债A,欧阳亮,混合债券型基金(一级),稳定小基金公司,稳定中,稳定小,稳定信用债
340,006107.OF,招商添利6个月定开债发起式A,"刘万锋,康晶",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
341,006112.OF,易方达恒惠定开债券发起式,李一硕,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,轮动基金
342,006116.OF,国泰丰祺纯债债券A,"胡智磊,索峰",中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
343,006120.OF,国联聚明定期开放债券,"王玥,石霄蒙",混合债券型基金(一级),稳定小基金公司,稳定中,稳定大,稳定信用债
344,006137.OF,广发汇立定期开放债券,赵子良,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
345,006150.OF,招商添利两年债券,"马龙,李家辉",混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
346,006151.OF,南方交元债券,"陈霜阳,李璇",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
347,006169.OF,工银瑞福纯债债券A,李娜,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
348,006171.OF,鹏扬淳利定期开放债券,"陈钟闻,王莹莹",中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,轮动基金
349,006172.OF,万家鑫悦纯债A,周潜玮,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
350,006191.OF,华夏鼎通债券A,吴彬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
351,006275.OF,永赢聚益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
352,006287.OF,永赢盛益债券A,章成,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
353,006319.OF,易方达安瑞短债债券A,"王晓晨,石大怿",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
354,006325.OF,招商添荣3个月定开债发起式A,康晶,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
355,006332.OF,招商金鸿债券A,黄晓婷,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
356,006360.OF,财通资管鸿益中短债债券A,李杰,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
357,006367.OF,交银裕祥纯债债券A,季参平,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
358,006378.OF,广发汇宏6个月定开债,赵子良,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
359,006393.OF,招商添德3个月定开债A,黄晓婷,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
360,006405.OF,华富恒盛纯债债券A,倪莉莎,中长期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
361,006411.OF,中加颐智纯债债券,王霈,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,轮动基金
362,006421.OF,中银弘享债券A,易芳菲,中长期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
363,006427.OF,招商添悦纯债A,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
364,006434.OF,鹏华3个月中短债A,"王康佳,张佳蕾",短期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
365,006436.OF,浦银中短债A,曹治国,短期纯债券型基金,稳定小基金公司,稳定短,稳定大,稳定信用债
366,006450.OF,嘉实致盈债券,"张文佳,王立芹",混合债券型基金(一级),稳定小基金公司,稳定长,稳定大,稳定信用债
367,006464.OF,浦银普益A,章潇枫,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
368,006468.OF,嘉实稳联纯债债券,李金灿,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,轮动基金
369,006489.OF,招商添裕纯债A,"向霈,马龙",中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
370,006504.OF,广发汇承定期开放债券,宋倩倩,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
371,006517.OF,南方吉元短债A,黄斌斌,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
372,006552.OF,广发汇兴3个月定期开放债券,赵子良,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
373,006570.OF,中金金元A,"董珊珊,闫雯雯",混合债券型基金(一级),稳定小基金公司,稳定短,稳定小,稳定信用债
374,006582.OF,博时富永3个月定开债发起式,李秋实,中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,稳定信用债
375,006591.OF,广发景明中短债A,宋倩倩,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
376,006597.OF,国泰利享中短债债券A,"陶然,丁士恒",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
377,006599.OF,国寿安保安丰纯债债券,李一鸣,混合债券型基金(一级),稳定小基金公司,稳定短,稳定大,稳定信用债
378,006617.OF,工银瑞泽定开债券,陈桂都,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
379,006626.OF,山证超短债基金A,"缪佳,刘凌云",短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
380,006629.OF,招商鑫悦中短债A,郭敏,短期纯债券型基金,稳定小基金公司,稳定短,稳定小,稳定信用债
381,006635.OF,永赢伟益债券,章成,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
382,006646.OF,添富短债债券A,杨靖,短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
383,006653.OF,南方畅利定开债券发起,黄斌斌,中长期纯债券型基金,稳定小基金公司,稳定中,稳定小,稳定信用债
384,006660.OF,永赢昌益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,稳定中,稳定大,稳定信用债
385,006662.OF,易方达安悦超短债债券A,"梁莹,刘朝阳",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
386,006664.OF,易方达安悦超短债债券F,"梁莹,刘朝阳",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,
387,006665.OF,华夏鼎康债券A,吴彬,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
388,006668.OF,华夏中短债债券A,刘明宇,短期纯债券型基金,稳定小基金公司,稳定长,稳定大,稳定信用债
389,006677.OF,中银稳汇短债债券A,"朱水媚,白洁",短期纯债券型基金,稳定小基金公司,稳定短,稳定中,稳定信用债
390,006683.OF,富国国有企业债债券D,张波,中长期纯债券型基金,稳定小基金公司,稳定短,稳定小,
391,006684.OF,富国信用债债券D,"吕春杰,陈倩,黄纪亮",中长期纯债券型基金,稳定小基金公司,稳定中,稳定中,
392,006707.OF,永赢宏益债券A,谢越,中长期纯债券型基金,稳定小基金公司,稳定长,稳定中,稳定信用债
393,006714.OF,博时富源纯债债券A,"李秋实,何平",中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债
