,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,Stable_Count,XStable,YStable,independent
0,519025.OF,海富通领先成长混合,李志,稳定行业均衡基金,风格轮动基金,风格轮动基金,
1,519026.OF,海富通中小盘混合,范庭芳,行业轮动基金,风格轮动基金,风格轮动基金,
2,519029.OF,华夏稳增混合,彭海伟,稳定行业均衡基金,风格轮动基金,稳定小盘,
3,519035.OF,富国天博创新混合,毕天宇,稳定行业均衡基金,风格轮动基金,风格轮动基金,
4,519069.OF,汇添富价值精选混合A,劳杰男,稳定行业均衡基金,风格轮动基金,稳定大盘,
5,519087.OF,新华优选分红混合,赵强,稳定行业均衡基金,风格轮动基金,风格轮动基金,
6,519089.OF,新华优选成长混合,栾超,稳定行业均衡基金,风格轮动基金,风格轮动基金,
7,519093.OF,新华钻石品质企业混合,蔡春红,行业轮动基金,风格轮动基金,风格轮动基金,
8,519133.OF,海富通改革驱动混合,周雪军,稳定行业均衡基金,风格轮动基金,稳定中盘,
9,519139.OF,海富通沪港深混合,高峥,稳定行业均衡基金,稳定价值型,风格轮动基金,
10,519181.OF,万家和谐增长混合A,"莫海波,刘林峰",稳定行业均衡基金,风格轮动基金,风格轮动基金,
11,519195.OF,万家品质生活A,莫海波,行业轮动基金,风格轮动基金,风格轮动基金,
12,519196.OF,万家新兴蓝筹,莫海波,行业轮动基金,风格轮动基金,风格轮动基金,
13,519224.OF,海富通欣荣混合A,杜晓海,,,,
14,519621.OF,银河君荣混合I,刘铭,,,,
15,519651.OF,银河转型混合A,杨琪,稳定行业均衡基金,风格轮动基金,稳定大盘,
16,519664.OF,银河美丽混合A,杨琪,行业轮动基金,风格轮动基金,稳定大盘,
17,519668.OF,银河成长混合,祝建辉,稳定行业均衡基金,风格轮动基金,稳定大盘,
18,519672.OF,银河蓝筹混合A,袁曦,稳定行业均衡基金,风格轮动基金,稳定大盘,
19,519674.OF,银河创新混合A,郑巍山,稳定TMT行业基金,风格轮动基金,风格轮动基金,
20,519688.OF,交银精选混合,"王崇,张雪蓉",稳定行业均衡基金,风格轮动基金,风格轮动基金,
21,519690.OF,交银稳健配置混合,陈孜铎,稳定行业均衡基金,风格轮动基金,风格轮动基金,
22,519692.OF,交银成长混合A,王少成,稳定行业均衡基金,风格轮动基金,风格轮动基金,
23,519694.OF,交银蓝筹混合,王少成,稳定行业均衡基金,风格轮动基金,风格轮动基金,
24,519696.OF,交银环球精选混合(QDII),"周中,陈俊华,陈舒薇",,,,
25,519704.OF,交银先进制造混合A,刘鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
26,519710.OF,交银策略回报混合,韩威俊,稳定消费行业基金,风格轮动基金,稳定大盘,
27,519712.OF,交银阿尔法核心混合A,何帅,稳定行业均衡基金,风格轮动基金,风格轮动基金,
28,519727.OF,交银成长30混合,郭斐,稳定行业均衡基金,风格轮动基金,风格轮动基金,
29,519736.OF,交银新成长混合,王崇,稳定行业均衡基金,风格轮动基金,风格轮动基金,
30,519756.OF,交银施罗德国企改革灵活配置混合A,沈楠,稳定行业均衡基金,风格轮动基金,稳定大盘,
31,519767.OF,交银科技创新灵活配置混合A,芮晨,稳定行业均衡基金,风格轮动基金,稳定中盘,
32,519773.OF,交银数据产业灵活配置混合A,田彧龙,行业轮动基金,风格轮动基金,风格轮动基金,
33,519908.OF,华夏兴华混合A,阳琨,行业轮动基金,风格轮动基金,风格轮动基金,
34,519915.OF,富国消费主题混合A,王园园,行业轮动基金,风格轮动基金,稳定大盘,
35,519929.OF,长信电子信息行业量化灵活配置混合A,"左金保,宋海岸",稳定TMT行业基金,风格轮动基金,风格轮动基金,
36,519983.OF,长信量化先锋混合A,左金保,稳定行业均衡基金,风格轮动基金,风格轮动基金,
37,519991.OF,长信双利优选混合A,祝昱丰,稳定行业均衡基金,风格轮动基金,风格轮动基金,
38,519995.OF,长信金利趋势混合A,高远,,,,
39,530001.OF,建信恒久价值混合,"陶灿,蒋严泽",行业轮动基金,风格轮动基金,风格轮动基金,
40,530003.OF,建信优选成长混合A,姚锦,稳定行业均衡基金,风格轮动基金,稳定大盘,
41,530006.OF,建信核心精选混合,王东杰,稳定行业均衡基金,风格轮动基金,稳定大盘,
42,550001.OF,信诚四季红混合A,吴昊,稳定行业均衡基金,风格轮动基金,风格轮动基金,
43,550002.OF,中信保诚精萃成长混合A,王睿,稳定行业均衡基金,风格轮动基金,风格轮动基金,
44,550003.OF,中信保诚盛世蓝筹混合,吴昊,稳定行业均衡基金,风格轮动基金,稳定大盘,
45,550008.OF,信诚优胜精选混合A,王睿,稳定行业均衡基金,风格轮动基金,风格轮动基金,
46,570001.OF,诺德价值优势混合,罗世锋,稳定行业均衡基金,风格轮动基金,稳定大盘,
47,570008.OF,诺德周期策略混合,罗世锋,稳定行业均衡基金,风格轮动基金,稳定大盘,
48,590005.OF,中邮核心主题混合,陈梁,行业轮动基金,风格轮动基金,风格轮动基金,
49,610004.OF,信澳中小盘混合,曾国富,行业轮动基金,稳定成长型,风格轮动基金,
50,610006.OF,信澳产业升级混合,曾国富,行业轮动基金,稳定成长型,风格轮动基金,
51,630002.OF,华商盛世成长混合,"周海栋,孙蔚",行业轮动基金,风格轮动基金,稳定中盘,
52,630006.OF,华商产业升级混合,彭欣杨,稳定行业均衡基金,风格轮动基金,风格轮动基金,
53,630010.OF,华商价值精选混合,彭欣杨,稳定行业均衡基金,风格轮动基金,风格轮动基金,
54,630016.OF,华商价值共享混合发起式,何奇峰,行业轮动基金,风格轮动基金,风格轮动基金,
55,660004.OF,农银策略价值混合,陈富权,稳定行业均衡基金,风格轮动基金,稳定大盘,
56,660006.OF,农银大盘蓝筹混合,宋永安,稳定行业均衡基金,风格轮动基金,稳定大盘,
57,660010.OF,农银策略精选混合,张峰,稳定行业均衡基金,风格轮动基金,风格轮动基金,
58,660012.OF,农银消费主题混合A,徐文卉,稳定消费行业基金,风格轮动基金,风格轮动基金,
59,688888.OF,浙商聚潮产业成长混合A,贾腾,稳定行业均衡基金,风格轮动基金,风格轮动基金,
60,690004.OF,民生加银稳健成长混合,郑爱刚,行业轮动基金,风格轮动基金,风格轮动基金,
61,690005.OF,民生加银内需增长混合,柳世庆,稳定行业均衡基金,风格轮动基金,风格轮动基金,
62,690007.OF,民生加银景气行业混合A,王亮,稳定行业均衡基金,风格轮动基金,稳定大盘,
63,700001.OF,平安行业先锋混合,刘杰,稳定行业均衡基金,风格轮动基金,风格轮动基金,
64,700003.OF,平安策略先锋混合,神爱前,稳定行业均衡基金,风格轮动基金,风格轮动基金,
65,720001.OF,财通价值动量混合,金梓才,行业轮动基金,风格轮动基金,风格轮动基金,
66,750001.OF,安信灵活配置混合,张竞,稳定行业均衡基金,风格轮动基金,风格轮动基金,
67,160133.SZ,南方天元新产业股票(LOF),蒋秋洁,稳定行业均衡基金,风格轮动基金,稳定大盘,
68,160322.SZ,华夏港股通精选股票(LOF)A,"李湘杰,黄芳",,稳定价值型,稳定小盘,
69,000041.OF,华夏全球股票(QDII),"李湘杰,郑鹏",,,,
70,000043.OF,嘉实美国成长股票(QDII),张自力,,,,
71,000082.OF,嘉实研究阿尔法股票,"肖觅,张露",稳定行业均衡基金,稳定均衡-价值型,风格轮动基金,
72,000309.OF,大摩品质生活精选股票,何晓春,稳定行业均衡基金,风格轮动基金,风格轮动基金,
73,000409.OF,鹏华环保产业股票,孟昊,行业轮动基金,稳定成长型,风格轮动基金,
74,000457.OF,摩根核心成长股票A,李博,稳定行业均衡基金,风格轮动基金,风格轮动基金,
75,000471.OF,富国城镇发展股票,蒲世林,稳定行业均衡基金,风格轮动基金,风格轮动基金,
76,000513.OF,富国高端制造行业股票A,毕天宇,稳定行业均衡基金,风格轮动基金,风格轮动基金,
77,000524.OF,摩根民生需求股票A,杨景喻,行业轮动基金,风格轮动基金,风格轮动基金,
78,000549.OF,华安大国新经济股票A,翁启森,稳定行业均衡基金,风格轮动基金,稳定中盘,
79,000577.OF,安信价值精选股票,陈一峰,稳定行业均衡基金,风格轮动基金,稳定大盘,
80,000592.OF,建信改革红利股票A,陶灿,稳定行业均衡基金,风格轮动基金,风格轮动基金,
81,000628.OF,大成高新技术产业股票A,刘旭,稳定行业均衡基金,风格轮动基金,稳定中盘,
82,000746.OF,招商行业精选股票基金,贾成东,稳定行业均衡基金,风格轮动基金,稳定大盘,
83,000751.OF,嘉实新兴产业股票,归凯,稳定行业均衡基金,风格轮动基金,风格轮动基金,
84,000778.OF,鹏华先进制造股票,袁航,行业轮动基金,风格轮动基金,稳定大盘,
85,000780.OF,鹏华医疗保健股票,郎超,稳定医药行业基金,风格轮动基金,风格轮动基金,
86,000828.OF,宏利转型机遇股票A,王鹏,行业轮动基金,风格轮动基金,稳定中盘,
87,000831.OF,工银医疗保健股票,"赵蓓,丁洋",稳定医药行业基金,风格轮动基金,风格轮动基金,
88,000866.OF,华宝制造股票,贺喆,稳定行业均衡基金,风格轮动基金,风格轮动基金,
89,000893.OF,工银创新动力股票,杨鑫鑫,稳定行业均衡基金,稳定价值型,稳定中盘,
90,000925.OF,汇添富外延增长主题股票A,蔡志文,稳定行业均衡基金,风格轮动基金,稳定大盘,
91,000955.OF,南方产业活力,蒋秋洁,稳定行业均衡基金,风格轮动基金,稳定大盘,
92,000960.OF,招商医药健康产业股票,李佳存,稳定医药行业基金,风格轮动基金,风格轮动基金,
93,000971.OF,诺安新经济股票,杨琨,稳定行业均衡基金,风格轮动基金,稳定大盘,
94,000978.OF,景顺长城量化精选股票,黎海威,稳定行业均衡基金,稳定价值型,稳定小盘,
95,000979.OF,景顺长城沪港深精选股票,鲍无可,稳定行业均衡基金,稳定价值型,风格轮动基金,
96,000985.OF,嘉实逆向策略股票,曲盛伟,行业轮动基金,风格轮动基金,风格轮动基金,
97,000991.OF,工银战略转型股票A,杜洋,稳定行业均衡基金,稳定价值型,稳定中盘,
98,000996.OF,中银新动力股票A,吴印,稳定行业均衡基金,风格轮动基金,稳定大盘,
99,001008.OF,工银国企改革股票,何肖颉,稳定行业均衡基金,风格轮动基金,稳定大盘,
100,001009.OF,摩根安全战略股票A,陈思郁,行业轮动基金,风格轮动基金,风格轮动基金,
101,001028.OF,华安物联网主题股票A,翁启森,稳定行业均衡基金,风格轮动基金,稳定中盘,
102,001036.OF,嘉实企业变革股票,谢泽林,稳定行业均衡基金,风格轮动基金,风格轮动基金,
103,001040.OF,新华策略精选股票,赵强,稳定行业均衡基金,风格轮动基金,风格轮动基金,
104,001044.OF,嘉实新消费股票,谭丽,行业轮动基金,风格轮动基金,风格轮动基金,
105,001054.OF,工银新金融股票A,鄢耀,稳定行业均衡基金,风格轮动基金,稳定大盘,
106,001070.OF,建信信息产业股票A,邵卓,稳定行业均衡基金,风格轮动基金,风格轮动基金,
107,001072.OF,华安智能装备主题股票A,李欣,行业轮动基金,风格轮动基金,风格轮动基金,
108,001126.OF,摩根卓越制造股票A,李德辉,稳定行业均衡基金,风格轮动基金,稳定大盘,
109,001158.OF,工银新材料新能源股票,张剑峰,稳定行业均衡基金,风格轮动基金,稳定大盘,
110,001163.OF,银华中国梦30股票,薄官辉,行业轮动基金,风格轮动基金,稳定大盘,
111,001166.OF,建信环保产业股票,姜锋,行业轮动基金,风格轮动基金,稳定大盘,
112,001171.OF,工银养老产业股票A,赵蓓,稳定医药行业基金,风格轮动基金,风格轮动基金,
113,001178.OF,前海开源再融资股票,邱杰,行业轮动基金,风格轮动基金,风格轮动基金,
114,001186.OF,富国文体健康股票A,林庆,稳定行业均衡基金,风格轮动基金,稳定中盘,
115,001195.OF,工银农业产业股票,杨柯,行业轮动基金,风格轮动基金,风格轮动基金,
116,001223.OF,鹏华文化传媒娱乐股票,贺宁,行业轮动基金,风格轮动基金,风格轮动基金,
117,001230.OF,鹏华医药科技A,金笑非,稳定医药行业基金,风格轮动基金,风格轮动基金,
118,001236.OF,博时丝路主题股票A,沙炜,稳定行业均衡基金,风格轮动基金,风格轮动基金,
119,001245.OF,工银生态环境股票A,何肖颉,行业轮动基金,风格轮动基金,风格轮动基金,
120,001291.OF,大摩量化多策略股票,余斌,稳定行业均衡基金,风格轮动基金,风格轮动基金,
121,001313.OF,摩根智慧互联股票A,郭晨,行业轮动基金,风格轮动基金,风格轮动基金,
122,001396.OF,建信互联网+产业升级股票,何珅华,行业轮动基金,风格轮动基金,稳定大盘,
123,001404.OF,招商移动互联网产业股票基金A,张林,稳定TMT行业基金,稳定成长型,风格轮动基金,
124,001410.OF,信澳新能源股票,冯明远,稳定行业均衡基金,风格轮动基金,风格轮动基金,
125,001416.OF,嘉实事件驱动股票,"张楠,张自力",稳定行业均衡基金,风格轮动基金,风格轮动基金,
126,001473.OF,建信大安全战略精选股票,王东杰,稳定行业均衡基金,风格轮动基金,稳定大盘,
127,001476.OF,中银智能制造股票A,王伟,行业轮动基金,风格轮动基金,风格轮动基金,
128,001490.OF,汇添富国企创新增长股票A,李威,稳定行业均衡基金,风格轮动基金,稳定大盘,
129,001496.OF,工银聚焦30股票,胡志利,稳定行业均衡基金,风格轮动基金,风格轮动基金,
130,001528.OF,诺安先进制造股票,韩冬燕,稳定行业均衡基金,稳定价值型,风格轮动基金,
131,001542.OF,国泰互联网+股票,彭凌志,行业轮动基金,稳定成长型,风格轮动基金,
132,001576.OF,国泰智能装备股票A,王阳,行业轮动基金,风格轮动基金,风格轮动基金,
133,001579.OF,国泰大农业股票A,程洲,行业轮动基金,风格轮动基金,稳定中盘,
134,001583.OF,安信新常态股票A,袁玮,稳定行业均衡基金,稳定价值型,风格轮动基金,
135,001605.OF,国富沪港深成长精选股票A,徐成,稳定行业均衡基金,稳定价值型,风格轮动基金,
136,001616.OF,嘉实环保低碳股票,姚志鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
137,001637.OF,嘉实量化精选股票,"刘斌,龙昌伦",稳定行业均衡基金,风格轮动基金,风格轮动基金,
138,001645.OF,国泰大健康股票A,徐治彪,稳定行业均衡基金,风格轮动基金,稳定小盘,
139,001651.OF,工银新蓝筹股票A,王筱苓,稳定行业均衡基金,风格轮动基金,稳定大盘,
140,001672.OF,国寿安保智慧生活股票,张琦,稳定行业均衡基金,风格轮动基金,风格轮动基金,
141,001703.OF,银华沪港深增长股票A,周晶,稳定行业均衡基金,稳定价值型,风格轮动基金,
142,001705.OF,泓德战略转型股票,秦毅,稳定行业均衡基金,风格轮动基金,稳定大盘,
143,001717.OF,工银前沿医疗股票A,赵蓓,稳定医药行业基金,风格轮动基金,风格轮动基金,
144,001725.OF,汇添富高端制造股票A,赵鹏飞,稳定行业均衡基金,风格轮动基金,风格轮动基金,
145,001726.OF,汇添富新兴消费股票A,刘伟林,行业轮动基金,风格轮动基金,风格轮动基金,
146,001736.OF,圆信永丰优加生活,范妍,稳定行业均衡基金,风格轮动基金,稳定中盘,
147,001766.OF,摩根医疗健康股票A,方钰涵,稳定医药行业基金,风格轮动基金,风格轮动基金,
148,001790.OF,国泰智能汽车股票A,王阳,行业轮动基金,风格轮动基金,风格轮动基金,
149,001825.OF,建信中国制造2025股票A,孙晟,稳定行业均衡基金,风格轮动基金,风格轮动基金,
150,001878.OF,嘉实沪港深精选股票,张金涛,稳定行业均衡基金,稳定价值型,风格轮动基金,
151,001956.OF,国联安科技动力股票,潘明,行业轮动基金,稳定成长型,风格轮动基金,
152,001974.OF,景顺长城量化新动力股票,黎海威,稳定行业均衡基金,风格轮动基金,稳定大盘,
153,001975.OF,景顺长城环保优势股票,杨锐文,稳定行业均衡基金,风格轮动基金,风格轮动基金,
154,002121.OF,广发沪港深新起点股票A,李耀柱,稳定行业均衡基金,稳定价值型,风格轮动基金,
155,002168.OF,嘉实智能汽车股票,姚志鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
156,002210.OF,创金合信量化多因子股票A,"董梁,黄小虎",稳定行业均衡基金,风格轮动基金,稳定小盘,
157,002229.OF,华夏经济转型股票,张帆,稳定行业均衡基金,风格轮动基金,风格轮动基金,
158,003145.OF,中融竞争优势,柯海东,稳定行业均衡基金,风格轮动基金,风格轮动基金,
159,003298.OF,嘉实物流产业股票A,肖觅,行业轮动基金,稳定价值型,稳定中盘,
160,003745.OF,广发多元新兴股票,"刘格菘,唐晓斌",稳定行业均衡基金,风格轮动基金,风格轮动基金,
161,003834.OF,华夏能源革新股票A,郑泽鸿,行业轮动基金,风格轮动基金,风格轮动基金,
162,003984.OF,嘉实新能源新材料股票A,"姚志鹏,熊昱洲",稳定行业均衡基金,风格轮动基金,风格轮动基金,
163,004075.OF,交银施罗德医药创新股票A,楼慧源,稳定医药行业基金,风格轮动基金,风格轮动基金,
164,004476.OF,景顺长城沪港深领先科技股票,詹成,稳定行业均衡基金,风格轮动基金,风格轮动基金,
165,004640.OF,华夏节能环保股票A,吕佳玮,稳定行业均衡基金,风格轮动基金,风格轮动基金,
166,004683.OF,建信高端医疗股票A,潘龙玲,稳定医药行业基金,风格轮动基金,风格轮动基金,
167,004851.OF,广发医疗保健股票A,吴兴武,稳定医药行业基金,风格轮动基金,风格轮动基金,
168,005267.OF,嘉实价值精选股票,谭丽,稳定行业均衡基金,稳定价值型,风格轮动基金,
169,005268.OF,鹏华优势企业,陈璇淼,稳定行业均衡基金,风格轮动基金,稳定大盘,
170,040018.OF,华安香港精选股票(QDII),"苏圻涵,翁启森",,,,
171,110022.OF,易方达消费行业股票,"萧楠,王元春",稳定消费行业基金,风格轮动基金,稳定大盘,
172,118001.OF,易方达亚洲精选股票(QDII),张坤,,,,
173,162208.OF,宏利首选企业股票A,张勋,稳定行业均衡基金,风格轮动基金,风格轮动基金,
174,320022.OF,诺安研究精选股票,"王创练,邓心怡",稳定行业均衡基金,风格轮动基金,稳定中盘,
