,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,Stable_Count,XStable,YStable,independent
343,004477.OF,嘉实沪港深回报混合,王丹,稳定行业均衡基金,风格轮动基金,风格轮动基金,
344,004505.OF,博时新兴消费主题混合A,"曾鹏,王诗瑶",行业轮动基金,风格轮动基金,风格轮动基金,
345,004666.OF,长城久嘉创新成长混合A,尤国梁,行业轮动基金,稳定成长型,风格轮动基金,
346,004868.OF,交银股息优化混合,韩威俊,稳定消费行业基金,风格轮动基金,稳定大盘,
347,004871.OF,中银金融地产混合A,刘腾,稳定金融地产行业基金,稳定价值型,稳定大盘,
348,004877.OF,添富全球医疗混合(QDII)人民币,刘江,,,,
349,004881.OF,中银量化价值混合A,赵志华,稳定行业均衡基金,风格轮动基金,稳定大盘,
350,004958.OF,圆信永丰优享生活,范妍,稳定行业均衡基金,风格轮动基金,稳定中盘,
351,005028.OF,鹏华研究精选混合,"梁浩,王海青",稳定行业均衡基金,风格轮动基金,风格轮动基金,
352,005075.OF,富国研究量化精选混合A,于鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
353,005094.OF,万家臻选混合,莫海波,行业轮动基金,风格轮动基金,稳定中盘,
354,005241.OF,中欧时代智慧混合A,成雨轩,稳定行业均衡基金,风格轮动基金,稳定大盘,
355,005244.OF,国泰聚优价值灵活配置混合A,程洲,稳定行业均衡基金,风格轮动基金,稳定小盘,
356,005250.OF,银华估值优势混合,程桯,稳定行业均衡基金,风格轮动基金,稳定大盘,
357,005258.OF,景顺长城量化平衡混合,"黎海威,徐喻军",稳定行业均衡基金,风格轮动基金,风格轮动基金,
358,005299.OF,万家成长优选混合A,李文宾,稳定行业均衡基金,风格轮动基金,风格轮动基金,
359,005335.OF,浙商全景消费混合A,"贾腾,刘新正",稳定行业均衡基金,稳定价值型,风格轮动基金,
360,005521.OF,华安红利精选混合A,杨明,稳定行业均衡基金,风格轮动基金,风格轮动基金,
361,020005.OF,国泰金马稳健混合A,李恒,行业轮动基金,风格轮动基金,稳定大盘,
362,020010.OF,国泰金牛创新成长混合,"程洲,孙家旭",稳定行业均衡基金,风格轮动基金,风格轮动基金,
363,020023.OF,国泰事件驱动混合A,林小聪,稳定行业均衡基金,风格轮动基金,风格轮动基金,
364,040004.OF,华安宝利配置混合,陈媛,行业轮动基金,风格轮动基金,稳定大盘,
365,040005.OF,华安宏利混合A,王春,稳定行业均衡基金,风格轮动基金,风格轮动基金,
366,040007.OF,华安中小盘成长混合,李欣,行业轮动基金,风格轮动基金,稳定中盘,
367,040008.OF,华安策略优选混合A,杨明,稳定行业均衡基金,风格轮动基金,稳定大盘,
368,040011.OF,华安核心优选混合A,"陆秋渊,盛骅",稳定行业均衡基金,风格轮动基金,稳定大盘,
369,040015.OF,华安动态灵活配置混合A,蒋璆,稳定行业均衡基金,风格轮动基金,风格轮动基金,
370,040016.OF,华安行业轮动混合,饶晓鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
371,040020.OF,华安升级主题混合A,饶晓鹏,稳定行业均衡基金,风格轮动基金,风格轮动基金,
372,040025.OF,华安科技动力混合A,李欣,行业轮动基金,风格轮动基金,风格轮动基金,
373,050009.OF,博时新兴成长混合,曾鹏,行业轮动基金,风格轮动基金,风格轮动基金,
374,050010.OF,博时特许价值混合A,曾鹏,行业轮动基金,稳定成长型,风格轮动基金,
375,050018.OF,博时行业轮动混合,陈雷,行业轮动基金,风格轮动基金,风格轮动基金,
376,070001.OF,嘉实成长收益混合A,胡涛,稳定行业均衡基金,风格轮动基金,风格轮动基金,
377,070002.OF,嘉实增长混合,归凯,稳定行业均衡基金,风格轮动基金,风格轮动基金,
378,070006.OF,嘉实服务增值行业混合,"牛歌,常蓁",稳定行业均衡基金,风格轮动基金,稳定大盘,
379,070011.OF,嘉实策略混合,"洪流,董福焱",稳定行业均衡基金,风格轮动基金,稳定大盘,
380,070017.OF,嘉实量化阿尔法混合,金猛,稳定行业均衡基金,风格轮动基金,风格轮动基金,
381,070019.OF,嘉实价值优势混合A,谭丽,稳定行业均衡基金,稳定价值型,风格轮动基金,
382,070021.OF,嘉实主题新动力混合,曲盛伟,行业轮动基金,风格轮动基金,风格轮动基金,
383,070032.OF,嘉实优化红利混合A,常蓁,稳定行业均衡基金,风格轮动基金,稳定大盘,
384,070099.OF,嘉实优质企业混合,胡涛,稳定行业均衡基金,风格轮动基金,风格轮动基金,
385,090004.OF,大成精选增值混合,李博,稳定行业均衡基金,风格轮动基金,稳定大盘,
386,090009.OF,大成行业轮动混合,王磊,稳定行业均衡基金,风格轮动基金,风格轮动基金,
387,090013.OF,大成竞争优势混合A,徐彦,稳定行业均衡基金,稳定价值型,风格轮动基金,
388,090015.OF,大成内需增长混合A,张烨,行业轮动基金,风格轮动基金,稳定大盘,
389,100020.OF,富国天益价值混合A,唐颐恒,稳定行业均衡基金,风格轮动基金,稳定大盘,
390,100022.OF,富国天瑞强势混合,"厉叶淼,徐智翔",稳定行业均衡基金,风格轮动基金,风格轮动基金,
391,100026.OF,富国天合稳健混合,张啸伟,稳定行业均衡基金,风格轮动基金,稳定大盘,
392,100039.OF,富国通胀通缩主题混合A,曹晋,行业轮动基金,风格轮动基金,风格轮动基金,
393,100060.OF,富国高新技术产业混合,李元博,行业轮动基金,风格轮动基金,风格轮动基金,
394,100061.OF,富国中国中小盘混合(QDII),张峰,,,,
395,110013.OF,易方达科翔混合,陈皓,稳定行业均衡基金,风格轮动基金,风格轮动基金,
396,110015.OF,易方达行业领先企业混合,冯波,稳定行业均衡基金,风格轮动基金,稳定大盘,
397,110023.OF,易方达医疗保健行业混合,杨桢霄,稳定医药行业基金,风格轮动基金,风格轮动基金,
398,110029.OF,易方达科讯混合,刘健维,稳定行业均衡基金,风格轮动基金,风格轮动基金,
399,121003.OF,国投瑞银核心企业混合,吉莉,稳定行业均衡基金,风格轮动基金,稳定大盘,
400,121008.OF,国投瑞银成长优选混合,桑俊,稳定行业均衡基金,风格轮动基金,稳定大盘,
401,160603.OF,鹏华普天收益混合,蒋鑫,稳定行业均衡基金,风格轮动基金,风格轮动基金,
402,160624.OF,鹏华消费领先混合,孟昊,行业轮动基金,稳定成长型,风格轮动基金,
403,161606.OF,融通行业景气混合A,邹曦,行业轮动基金,风格轮动基金,风格轮动基金,
404,162209.OF,宏利市值优选混合,庄腾飞,稳定行业均衡基金,风格轮动基金,稳定大盘,
405,163411.OF,兴全精选混合,陈宇,稳定行业均衡基金,风格轮动基金,风格轮动基金,
406,163805.OF,中银策略混合A,王帅,稳定行业均衡基金,风格轮动基金,稳定大盘,
407,163807.OF,中银优选混合A,王伟,稳定行业均衡基金,风格轮动基金,风格轮动基金,
408,163822.OF,中银主题策略混合A,黄珺,稳定行业均衡基金,风格轮动基金,风格轮动基金,
409,166002.OF,中欧新蓝筹混合A,"冯炉丹,周蔚文",稳定行业均衡基金,风格轮动基金,风格轮动基金,
410,166005.OF,中欧价值发现混合A,"蓝小康,曹名长,沈悦",稳定行业均衡基金,稳定价值型,稳定小盘,
411,166301.OF,华商新趋势优选灵活配置混合,周海栋,行业轮动基金,风格轮动基金,稳定中盘,
412,180010.OF,银华优质增长混合,贲兴振,稳定行业均衡基金,风格轮动基金,稳定大盘,
413,180012.OF,银华富裕主题混合A,焦巍,行业轮动基金,风格轮动基金,稳定大盘,
414,180013.OF,银华领先策略混合,"苏静然,倪明,向伊达",稳定行业均衡基金,风格轮动基金,风格轮动基金,
415,180018.OF,银华和谐主题混合,唐能,稳定行业均衡基金,风格轮动基金,稳定大盘,
416,180028.OF,银华永祥混合,"贾鹏,郭思捷,孙慧",稳定行业均衡基金,风格轮动基金,风格轮动基金,
417,180031.OF,银华中小盘混合,"李晓星,张萍,杜宇",行业轮动基金,风格轮动基金,风格轮动基金,
418,200001.OF,长城久恒灵活配置混合A,储雯玉,行业轮动基金,稳定成长型,风格轮动基金,
419,200006.OF,长城消费增值混合,龙宇飞,行业轮动基金,风格轮动基金,风格轮动基金,
420,200008.OF,长城品牌优选混合,杨建华,稳定消费行业基金,风格轮动基金,稳定大盘,
421,202003.OF,南方绩优成长混合A,"骆帅,史博",稳定行业均衡基金,风格轮动基金,风格轮动基金,
422,202005.OF,南方成份精选混合A,黄春逢,稳定行业均衡基金,风格轮动基金,稳定大盘,
423,202007.OF,南方隆元产业主题混合,蒋秋洁,稳定行业均衡基金,风格轮动基金,稳定大盘,
424,202011.OF,南方优选价值混合A,罗安安,稳定行业均衡基金,风格轮动基金,稳定大盘,
425,202023.OF,南方优选成长混合A,骆帅,稳定行业均衡基金,风格轮动基金,风格轮动基金,
426,202212.OF,南方平衡配置混合,"邹寅隆,黄春逢",稳定行业均衡基金,风格轮动基金,稳定大盘,
427,206009.OF,鹏华新兴产业混合,梁浩,稳定行业均衡基金,风格轮动基金,风格轮动基金,
428,210003.OF,金鹰行业优势混合A,倪超,行业轮动基金,风格轮动基金,稳定中盘,
429,210009.OF,金鹰核心资源混合,陈颖,稳定TMT行业基金,风格轮动基金,稳定小盘,
430,213003.OF,宝盈策略增长混合,朱建明,行业轮动基金,风格轮动基金,风格轮动基金,
431,217009.OF,招商核心价值混合,郭锐,稳定行业均衡基金,风格轮动基金,风格轮动基金,
432,217010.OF,招商大盘蓝筹混合,郭锐,稳定行业均衡基金,风格轮动基金,风格轮动基金,
433,217012.OF,招商行业领先混合A,吴昊,行业轮动基金,风格轮动基金,风格轮动基金,
434,217013.OF,招商中小盘混合,韩冰,稳定行业均衡基金,风格轮动基金,风格轮动基金,
435,217020.OF,招商安达灵活配置混合,王奇玮,稳定行业均衡基金,风格轮动基金,风格轮动基金,
436,229002.OF,宏利逆向策略混合,刘欣,稳定行业均衡基金,风格轮动基金,风格轮动基金,
437,233006.OF,大摩领先优势混合,何晓春,稳定行业均衡基金,风格轮动基金,风格轮动基金,
438,233007.OF,大摩卓越成长混合,王大鹏,行业轮动基金,风格轮动基金,稳定大盘,
439,233009.OF,大摩多因子策略混合,余斌,稳定行业均衡基金,风格轮动基金,风格轮动基金,
440,233011.OF,大摩主题优选混合,缪东航,稳定行业均衡基金,风格轮动基金,风格轮动基金,
441,240004.OF,华宝动力组合混合A,刘自强,行业轮动基金,风格轮动基金,风格轮动基金,
442,240008.OF,华宝收益增长混合A,毛文博,稳定行业均衡基金,稳定价值型,稳定大盘,
443,240022.OF,华宝资源优选A,"丁靖斐,蔡目荣",稳定周期行业基金,风格轮动基金,风格轮动基金,
444,257010.OF,国联安小盘精选混合,邹新进,稳定行业均衡基金,稳定价值型,风格轮动基金,
445,257020.OF,国联安精选混合,魏东,稳定行业均衡基金,风格轮动基金,风格轮动基金,
446,257070.OF,国联安优选行业混合,潘明,行业轮动基金,稳定成长型,风格轮动基金,
447,260101.OF,景顺长城优选混合,杨锐文,稳定行业均衡基金,风格轮动基金,风格轮动基金,
448,260103.OF,景顺长城动力平衡混合,刘苏,稳定行业均衡基金,风格轮动基金,稳定大盘,
449,260104.OF,景顺长城内需增长混合,刘彦春,行业轮动基金,风格轮动基金,稳定大盘,
450,260108.OF,景顺长城新兴成长混合A,刘彦春,稳定消费行业基金,风格轮动基金,稳定大盘,
451,260109.OF,景顺长城内需贰号混合,刘彦春,稳定消费行业基金,风格轮动基金,稳定大盘,
452,260116.OF,景顺长城核心竞争力混合A类,余广,稳定行业均衡基金,风格轮动基金,稳定大盘,
453,262001.OF,景顺长城大中华混合(QDII)A人民币,周寒颖,,,,
454,270005.OF,广发聚丰混合A,邱璟旻,稳定行业均衡基金,风格轮动基金,风格轮动基金,
455,270006.OF,广发策略优选混合,罗洋,稳定行业均衡基金,风格轮动基金,稳定大盘,
456,270008.OF,广发核心精选混合,程琨,稳定行业均衡基金,风格轮动基金,稳定大盘,
457,270021.OF,广发聚瑞混合A,费逸,稳定行业均衡基金,风格轮动基金,风格轮动基金,
458,270025.OF,广发行业领先混合A,程琨,稳定行业均衡基金,风格轮动基金,风格轮动基金,
459,270028.OF,广发制造业精选混合A,李巍,行业轮动基金,风格轮动基金,稳定中盘,
460,270041.OF,广发消费品精选混合A,李琛,稳定消费行业基金,风格轮动基金,稳定大盘,
461,270050.OF,广发新经济混合A,邱璟旻,稳定行业均衡基金,风格轮动基金,风格轮动基金,
462,288002.OF,华夏收入混合,郑煜,稳定行业均衡基金,风格轮动基金,稳定中盘,
463,290011.OF,泰信中小盘精选混合,董季周,稳定TMT行业基金,风格轮动基金,风格轮动基金,
464,290012.OF,泰信行业精选混合A,董山青,行业轮动基金,风格轮动基金,风格轮动基金,
465,320003.OF,诺安先锋混合A,"杨谷,张堃",稳定行业均衡基金,风格轮动基金,稳定小盘,
466,320005.OF,诺安价值增长混合,王创练,稳定行业均衡基金,风格轮动基金,风格轮动基金,
467,320007.OF,诺安成长混合,"蔡嵩松,刘慧影",稳定TMT行业基金,风格轮动基金,风格轮动基金,
468,320011.OF,诺安中小盘精选混合,韩冬燕,稳定行业均衡基金,稳定价值型,风格轮动基金,
469,320012.OF,诺安主题精选混合,罗春蕾,稳定行业均衡基金,风格轮动基金,风格轮动基金,
470,320015.OF,诺安行业轮动,韩冬燕,稳定行业均衡基金,稳定价值型,风格轮动基金,
471,340007.OF,兴全社会责任混合,季文华,稳定行业均衡基金,风格轮动基金,风格轮动基金,
472,370027.OF,摩根智选30混合A,李德辉,稳定行业均衡基金,风格轮动基金,稳定大盘,
473,375010.OF,摩根中国优势混合A,杜猛,稳定行业均衡基金,风格轮动基金,风格轮动基金,
474,377010.OF,摩根阿尔法混合A,李博,稳定行业均衡基金,风格轮动基金,风格轮动基金,
475,377016.OF,摩根亚太优势混合(QDII),张军,,,,
476,377240.OF,摩根新兴动力混合A,杜猛,稳定行业均衡基金,风格轮动基金,风格轮动基金,
477,378010.OF,摩根成长先锋混合A,倪权生,稳定行业均衡基金,风格轮动基金,风格轮动基金,
478,378546.OF,摩根全球天然资源混合(QDII),张军,,,,
479,379010.OF,摩根中小盘混合A,郭晨,行业轮动基金,风格轮动基金,风格轮动基金,
480,398011.OF,中海分红增利混合,邱红丽,行业轮动基金,风格轮动基金,风格轮动基金,
481,398021.OF,中海能源策略混合,姚晨曦,行业轮动基金,风格轮动基金,风格轮动基金,
482,398061.OF,中海消费混合A,"何文逸,姚晨曦",行业轮动基金,风格轮动基金,风格轮动基金,
483,400001.OF,东方龙混合,许文波,稳定行业均衡基金,风格轮动基金,风格轮动基金,
484,400007.OF,东方策略成长混合,"王然,王芳玲",行业轮动基金,风格轮动基金,风格轮动基金,
485,400025.OF,东方新兴成长混合,王然,行业轮动基金,风格轮动基金,稳定大盘,
486,410003.OF,华富成长趋势混合,陈启明,稳定行业均衡基金,风格轮动基金,风格轮动基金,
487,410007.OF,华富价值增长混合,陈启明,稳定行业均衡基金,风格轮动基金,风格轮动基金,
488,420001.OF,天弘精选混合A,"谷琦彬,于洋,赵鼎龙,周楷宁",稳定行业均衡基金,风格轮动基金,风格轮动基金,
489,420003.OF,天弘永定价值成长混合A,"刘国江,于洋",行业轮动基金,风格轮动基金,稳定大盘,
490,420005.OF,天弘周期策略混合A,谷琦彬,行业轮动基金,风格轮动基金,风格轮动基金,
491,450002.OF,国富弹性市值混合A,赵晓东,稳定行业均衡基金,稳定价值型,稳定大盘,
492,450003.OF,国富潜力组合混合A,徐荔蓉,稳定行业均衡基金,稳定均衡-价值型,稳定大盘,
493,450004.OF,国富深化价值混合A,刘晓,稳定行业均衡基金,稳定均衡-价值型,稳定大盘,
494,460001.OF,华泰柏瑞盛世中国混合,牛勇,稳定行业均衡基金,稳定成长型,风格轮动基金,
495,460007.OF,华泰柏瑞行业领先混合,吕慧建,稳定行业均衡基金,风格轮动基金,风格轮动基金,
496,460009.OF,华泰柏瑞量化先行混合A,"田汉卿,盛豪",稳定行业均衡基金,稳定价值型,稳定小盘,
497,470006.OF,汇添富医药保健混合A,郑磊,稳定医药行业基金,风格轮动基金,风格轮动基金,
498,470008.OF,汇添富策略回报混合,顾耀强,稳定行业均衡基金,风格轮动基金,风格轮动基金,
499,470009.OF,汇添富民营活力混合A,马翔,稳定行业均衡基金,风格轮动基金,风格轮动基金,
500,481001.OF,工银核心价值混合A,何肖颉,稳定行业均衡基金,风格轮动基金,稳定大盘,
501,481004.OF,工银稳健成长混合A,"修世宇,杜洋",稳定行业均衡基金,风格轮动基金,稳定大盘,
502,481006.OF,工银红利混合,林念,稳定行业均衡基金,风格轮动基金,风格轮动基金,
503,481008.OF,工银大盘蓝筹混合,"王筱苓,李迪",稳定行业均衡基金,风格轮动基金,稳定大盘,
504,481013.OF,工银消费服务混合A,王筱苓,行业轮动基金,风格轮动基金,稳定大盘,
505,487021.OF,工银优质精选混合A,胡志利,稳定行业均衡基金,风格轮动基金,风格轮动基金,
506,519001.OF,银华价值优选混合,"倪明,苏静然",稳定行业均衡基金,风格轮动基金,风格轮动基金,
507,519002.OF,华安安信消费服务混合A,王斌,稳定行业均衡基金,风格轮动基金,风格轮动基金,
508,519003.OF,海富通收益增长混合,周雪军,稳定行业均衡基金,风格轮动基金,稳定中盘,
509,519005.OF,海富通股票混合,吕越超,行业轮动基金,稳定成长型,风格轮动基金,
510,519008.OF,汇添富优势精选混合,王栩,稳定行业均衡基金,风格轮动基金,风格轮动基金,
511,519011.OF,海富通精选混合,黄峰,行业轮动基金,风格轮动基金,风格轮动基金,
512,519015.OF,海富通精选贰号混合,黄峰,行业轮动基金,风格轮动基金,风格轮动基金,
513,519017.OF,大成积极成长混合A,王磊,稳定行业均衡基金,风格轮动基金,稳定大盘,
514,519018.OF,汇添富均衡增长混合,"顾耀强,詹杰",稳定行业均衡基金,风格轮动基金,风格轮动基金,
515,519020.OF,国泰金泰灵活配置混合A,李海,行业轮动基金,风格轮动基金,风格轮动基金,
516,519021.OF,国泰金鼎价值混合,饶玉涵,稳定行业均衡基金,风格轮动基金,风格轮动基金,
