,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
40,460008.OF,460008,华泰柏瑞稳健收益债券A,华泰柏瑞基金,罗远航,中长期纯债券型基金,2024333580.44,A,纯债基金
63,485022.OF,485022,工银尊益中短债债券F,工银瑞信,谷衡,短期纯债券型基金,6805084071.24,,纯债基金
64,485105.OF,485105,工银增强收益债券A,工银瑞信,"杜海涛,张略钊",混合债券型基金(一级),852244655.23,A,纯债基金
65,485107.OF,485107,工银添利债券A,工银瑞信,谷衡,混合债券型基金(一级),2436796030.14,A,纯债基金
70,485120.OF,485120,工银14天理财债券发起A,工银瑞信,李娜,短期纯债券型基金,233068326.8,A,纯债基金
87,519137.OF,519137,海富通瑞福债券A,海富通基金,"方昆明,张靖爽",混合债券型基金(一级),3974017749.46,A,纯债基金
88,519138.OF,519138,海富通瑞祥一年定开债券,海富通基金,张靖爽,混合债券型基金(一级),1274385266.51,,纯债基金
104,519225.OF,519225,海富通集利债券,海富通基金,方昆明,混合债券型基金(一级),412517911.92,,纯债基金
106,519322.OF,519322,浦银安盛盛元定开债券A,浦银安盛基金,章潇枫,中长期纯债券型基金,10052999990.31,A,纯债基金
108,519324.OF,519324,浦银安盛盛鑫定开债券A,浦银安盛基金,章潇枫,混合债券型基金(一级),347630735.64,A,纯债基金
110,519328.OF,519328,浦银安盛盛泰纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1036786664.02,A,纯债基金
112,519330.OF,519330,浦银安盛盛跃纯债债券A,浦银安盛基金,陶祺,中长期纯债券型基金,1705817746.95,A,纯债基金
114,519332.OF,519332,浦银安盛盛达纯债债券A,浦银安盛基金,章潇枫,中长期纯债券型基金,9502038173.51,A,纯债基金
116,519334.OF,519334,浦银安盛盛勤定开债券A,浦银安盛基金,李羿,中长期纯债券型基金,1328241064.23,A,纯债基金
130,519680.OF,519680,交银增利债券A/B,交银施罗德,"张顺晨,魏玉敏",混合债券型基金(一级),2749716961.99,AB,纯债基金
135,519718.OF,519718,交银纯债债券A/B,交银施罗德,"于海颖,魏玉敏",中长期纯债券型基金,5667015184.93,AB,纯债基金
146,519743.OF,519743,交银丰润收益债券A,交银施罗德,季参平,中长期纯债券型基金,5494369730.79,A,纯债基金
148,519746.OF,519746,交银丰享收益债券A,交银施罗德,黄莹洁,中长期纯债券型基金,1852270088.45,A,纯债基金
151,519762.OF,519762,交银裕通纯债债券A,交银施罗德,季参平,中长期纯债券型基金,653070619.1,A,纯债基金
153,519776.OF,519776,交银裕盈纯债债券A,交银施罗德,"于海颖,姬静",中长期纯债券型基金,9062519035.32,A,纯债基金
155,519782.OF,519782,交银裕隆纯债债券A,交银施罗德,黄莹洁,中长期纯债券型基金,14263070755.33,A,纯债基金
157,519784.OF,519784,交银境尚收益债券A,交银施罗德,"姬静,黄莹洁",中长期纯债券型基金,1815055127.69,A,纯债基金
183,530021.OF,530021,建信纯债A,建信基金,"黎颖芳,彭紫云",中长期纯债券型基金,8817650175.28,A,纯债基金
185,530029.OF,530029,建信荣元一年定开债券发起式,建信基金,"刘思,闫晗",中长期纯债券型基金,8511282994.770001,,纯债基金
192,531028.OF,531028,建信短债债券A,建信基金,"陈建良,李星佑,吴沛文",短期纯债券型基金,19934409386.8,A,纯债基金
216,650001.OF,650001,英大纯债债券A,英大基金,"张大铮,张婧珣,易祺坤",混合债券型基金(一级),486167478.04,A,纯债基金
225,675041.OF,675041,西部利得合享A,西部利得基金,刘心峰,混合债券型基金(一级),3496499419.91,A,纯债基金
329,960040.OF,960040,南方多利增强债券H,南方基金,李璇,混合债券型基金(一级),,,纯债基金
390,970096.OF,970096,东证融汇禧悦90天滚动A,东证融汇,"李卿睿,应洁茜,郑铮",混合债券型基金(一级),13814445985.13,A,纯债基金
392,970098.OF,970098,东证融汇鑫享30天滚动A,东证融汇,"李卿睿,应洁茜,郑铮",混合债券型基金(一级),10574052547.91,A,纯债基金
414,970132.OF,970132,东证融汇添添益中短债A,东证融汇,"郑铮,李卿睿,应洁茜",短期纯债券型基金,2634814198.25,A,纯债基金
456,H000355.OF,H000355,南方丰元H,南方基金,李璇,混合债券型基金(一级),,,纯债基金
457,H202108.OF,H202108,南方润元纯债债券H,南方基金,金凌志,中长期纯债券型基金,,,纯债基金
458,H217003.OF,H217003,招商安泰债券H,招商基金,刘万锋,混合债券型基金(一级),,,纯债基金
464,160128.SZ,160128,南方金利定开债券A,南方基金,李璇,中长期纯债券型基金,321560691.95,A,纯债基金
466,160515.SZ,160515,博时安丰18个月定开债A,博时基金,王帅,中长期纯债券型基金,455014395.25,A,纯债基金
468,160618.SZ,160618,鹏华丰泽债券(LOF),鹏华基金,"祝松,邓明明",混合债券型基金(一级),1420249132.36,,纯债基金
472,161014.SZ,161014,富国汇利回报定期开放债券,富国基金,黄纪亮,混合债券型基金(一级),1301474556.61,,纯债基金
474,161019.SZ,161019,富国新天锋债券(LOF)A,富国基金,武磊,混合债券型基金(一级),2759163077.72,A,纯债基金
475,161115.SZ,161115,易方达岁丰添利债券A,易方达基金,"张凯頔,胡剑",混合债券型基金(一级),7814961069.22,A,纯债基金
476,161117.SZ,161117,易方达永旭定期开放债券,易方达基金,李一硕,中长期纯债券型基金,1722648227.58,,纯债基金
492,162715.SZ,162715,广发聚源债券(LOF)A,广发基金,吴迪,中长期纯债券型基金,1424931930.49,A,纯债基金
505,164703.SZ,164703,汇添富纯债(LOF),汇添富基金,胡娜,混合债券型基金(一级),1530020079.01,,纯债基金
537,000005.OF,000005,嘉实增强信用定期债券,嘉实基金,轩璇,混合债券型基金(一级),240889487.74,,纯债基金
544,000032.OF,000032,易方达信用债债券A,易方达基金,"胡剑,纪玲云",中长期纯债券型基金,10872700695.31,A,纯债基金
546,000037.OF,000037,广发景宁纯债A,广发基金,宋倩倩,中长期纯债券型基金,7544181269.79,A,纯债基金
551,000053.OF,000053,鹏华永诚一年定开债券,鹏华基金,刘涛,中长期纯债券型基金,755075043.66,,纯债基金
564,000084.OF,000084,博时安盈债券A,博时基金,黄海峰,短期纯债券型基金,10290942347.83,A,纯债基金
568,000090.OF,000090,民生加银高等级信用债债券A,民生加银基金,李文君,短期纯债券型基金,1394147778.25,A,纯债基金
575,000111.OF,000111,易方达纯债1年定期开放债券A,易方达基金,李一硕,中长期纯债券型基金,3184206302.28,A,纯债基金
577,000116.OF,000116,嘉实丰益纯债定期债券,嘉实基金,"程剑,闵锐",中长期纯债券型基金,316727723.87,,纯债基金
588,000137.OF,000137,民生加银岁岁增利债券A,民生加银基金,李文君,中长期纯债券型基金,1632056377.36,A,纯债基金
590,000139.OF,000139,富国国有企业债债券A/B,富国基金,张波,中长期纯债券型基金,12043362984.99,AB,纯债基金
594,000147.OF,000147,易方达高等级信用债债券A,易方达基金,胡剑,中长期纯债券型基金,368405461.25,A,纯债基金
605,000183.OF,000183,嘉实丰益策略定期债券,嘉实基金,轩璇,混合债券型基金(一级),1420432423.85,,纯债基金
608,000186.OF,000186,华泰柏瑞季季红债券A,华泰柏瑞基金,罗远航,中长期纯债券型基金,8997794015.49,A,纯债基金
609,000187.OF,000187,华泰柏瑞丰盛纯债债券A,华泰柏瑞基金,何子建,中长期纯债券型基金,3634139704.65,A,纯债基金
612,000191.OF,000191,富国信用债债券A/B,富国基金,"黄纪亮,吕春杰,陈倩",中长期纯债券型基金,18139279969.3,AB,纯债基金
618,000205.OF,000205,易方达投资级信用债债券A,易方达基金,王晓晨,中长期纯债券型基金,5853497901.520001,A,纯债基金
620,000207.OF,000207,建信双债增强A,建信基金,彭紫云,混合债券型基金(一级),227529341.03,A,纯债基金
631,000244.OF,000244,天弘稳利定期开放A,天弘基金,柴文婷,混合债券型基金(一级),1058225062.19,A,纯债基金
633,000252.OF,000252,景顺长城景兴信用纯债债券A,景顺长城基金,何江波,中长期纯债券型基金,801238397.34,A,纯债基金
635,000254.OF,000254,长城定期开放债券A,长城基金,张棪,混合债券型基金(一级),88836978.37,A,纯债基金
637,000265.OF,000265,易方达恒久1年定期债券A,易方达基金,藏海涛,中长期纯债券型基金,2572282054.56,A,纯债基金
649,000295.OF,000295,鹏华丰实定期开放债券A,鹏华基金,"方昶,王石千",混合债券型基金(一级),1987603223.97,A,纯债基金
667,000345.OF,000345,鹏华丰融定期开放债券,鹏华基金,刘涛,混合债券型基金(一级),825086409.53,,纯债基金
668,000346.OF,000346,建信安心回报6个月定期开放债券A,建信基金,"闫晗,彭紫云",混合债券型基金(一级),3083954098.84,A,纯债基金
672,000355.OF,000355,南方丰元信用增强债券A,南方基金,李璇,混合债券型基金(一级),551642077.96,A,纯债基金
682,000402.OF,000402,工银纯债债券A,工银瑞信,"张略钊,谷衡",中长期纯债券型基金,11970146170.41,A,纯债基金
691,000469.OF,000469,富国目标齐利一年期纯债债券,富国基金,"张洋,黄纪亮",中长期纯债券型基金,952113348.31,,纯债基金
699,000516.OF,000516,富国祥利一年期定期开放债券型A,富国基金,黄纪亮,中长期纯债券型基金,3545284677.04,A,纯债基金
703,000546.OF,000546,兴业定开债券A,兴业基金,"腊博,周鸣",混合债券型基金(一级),2725669101.49,A,纯债基金
704,000552.OF,000552,中加纯债一年A,中加基金,闫沛贤,中长期纯债券型基金,1024296360.29,A,纯债基金
713,000606.OF,000606,天弘优选债券,天弘基金,刘洋,中长期纯债券型基金,2709794727.07,,纯债基金
728,000783.OF,000783,博时季季享三个月持有期债券A,博时基金,"于渤洋,黄海峰",短期纯债券型基金,9636871112.0,A,纯债基金
732,000799.OF,000799,民生加银半年理财,民生加银基金,李文君,短期纯债券型基金,5107201155.87,,纯债基金
740,000815.OF,000815,鑫元合享纯债A,鑫元基金,郭卉,中长期纯债券型基金,387970847.1,A,纯债基金
753,000914.OF,000914,中加纯债债券,中加基金,闫沛贤,中长期纯债券型基金,13067389262.94,,纯债基金
754,000931.OF,000931,国寿安保尊益信用纯债债券,国寿安保基金,"陶尹斌,丁宇佳",混合债券型基金(一级),664748958.78,,纯债基金
755,000943.OF,000943,工银中高等级信用债债券A,工银瑞信,陈桂都,中长期纯债券型基金,366485090.62,A,纯债基金
786,001246.OF,001246,兴银长乐定开债,兴银基金,"范泰奇,陶国峰,王深",中长期纯债券型基金,5068367145.24,,纯债基金
790,001299.OF,001299,兴业添利债券,兴业基金,"伍方方,周鸣",中长期纯债券型基金,9674482006.16,,纯债基金
792,001368.OF,001368,兴业稳固收益一年理财债券,兴业基金,"周鸣,王卓然",中长期纯债券型基金,8026488292.68,,纯债基金
793,001369.OF,001369,兴业稳固收益两年理财债券,兴业基金,唐丁祥,中长期纯债券型基金,7867104836.33,,纯债基金
797,001545.OF,001545,博时裕嘉3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,1378381458.01,,纯债基金
799,001578.OF,001578,博时裕瑞纯债债券,博时基金,"李汉楠,李秋实,何平",中长期纯债券型基金,7234119449.98,,纯债基金
800,001619.OF,001619,兴银汇福定开债,兴银基金,范泰奇,中长期纯债券型基金,2984434212.87,,纯债基金
807,001783.OF,001783,兴银合盈债券A,兴银基金,王深,中长期纯债券型基金,5083588740.87,A,纯债基金
809,001785.OF,001785,民生加银岁岁增利债券D,民生加银基金,李文君,中长期纯债券型基金,1632056377.36,,纯债基金
811,001819.OF,001819,兴全稳益定开债券,兴证全球基金,"翟秀华,王健,石广翔",中长期纯债券型基金,10022827846.32,,纯债基金
818,001911.OF,001911,博时裕恒纯债债券,博时基金,郭思洁,中长期纯债券型基金,2548278478.12,,纯债基金
827,001960.OF,001960,兴银瑞益,兴银基金,"洪木妹,王深,陶国峰",中长期纯债券型基金,3645260799.97,,纯债基金
828,001961.OF,001961,博时裕荣纯债债券,博时基金,郭思洁,中长期纯债券型基金,3705514311.15,,纯债基金
835,001993.OF,001993,博时裕泰纯债债券,博时基金,李汉楠,中长期纯债券型基金,1411750441.29,,纯债基金
844,002109.OF,002109,博时裕丰3个月定开债发起式,博时基金,"王帅,程卓",中长期纯债券型基金,1953709018.72,,纯债基金
848,002140.OF,002140,博时裕诚纯债债券,博时基金,郭思洁,中长期纯债券型基金,1113804248.08,,纯债基金
849,002143.OF,002143,博时裕坤3个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,300226352.14,,纯债基金
850,002169.OF,002169,永赢稳益债券,永赢基金,陶毅,中长期纯债券型基金,7919436092.67,,纯债基金
851,002175.OF,002175,博时裕乾纯债A,博时基金,何平,中长期纯债券型基金,2047454042.47,A,纯债基金
852,002188.OF,002188,鹏华丰华债券,鹏华基金,刘涛,中长期纯债券型基金,1852778268.86,,纯债基金
853,002198.OF,002198,博时裕达纯债,博时基金,王帅,中长期纯债券型基金,1293363471.64,,纯债基金
854,002206.OF,002206,博时裕康纯债,博时基金,王帅,中长期纯债券型基金,511431263.58,,纯债基金
861,002268.OF,002268,兴业丰利债券,兴业基金,伍方方,中长期纯债券型基金,4407654244.46,,纯债基金
870,002301.OF,002301,兴业短债债券A,兴业基金,刘禹含,短期纯债券型基金,8834703715.05,A,纯债基金
871,002336.OF,002336,创金合信尊享纯债债券A,创金合信基金,郑振源,中长期纯债券型基金,1095143841.49,A,纯债基金
874,002341.OF,002341,招商招瑞纯债债券发起式A,招商基金,刘万锋,中长期纯债券型基金,1548279051.96,A,纯债基金
878,002354.OF,002354,博时裕腾纯债,博时基金,李秋实,中长期纯债券型基金,434788820.07,,纯债基金
883,002377.OF,002377,建信睿怡纯债A,建信基金,"吴沛文,闫晗",混合债券型基金(一级),472300946.67,A,纯债基金
889,002395.OF,002395,鹏华丰尚定期开放债券A,鹏华基金,刘涛,混合债券型基金(一级),2721917263.84,A,纯债基金
902,002438.OF,002438,创金合信尊盛纯债债券,创金合信基金,郑振源,中长期纯债券型基金,1009141329.37,,纯债基金
905,002445.OF,002445,兴业丰泰债券,兴业基金,王卓然,中长期纯债券型基金,4375203424.95,,纯债基金
906,002447.OF,002447,博时裕安一年定开债发起式,博时基金,李汉楠,中长期纯债券型基金,976107322.94,,纯债基金
911,002466.OF,002466,博时裕新纯债,博时基金,郭思洁,中长期纯债券型基金,3685380688.75,,纯债基金
913,002483.OF,002483,富国泰利定期开放债券发起式,富国基金,俞晓斌,混合债券型基金(一级),240992926.55,,纯债基金
927,002524.OF,002524,兴业福益债券,兴业基金,唐丁祥,混合债券型基金(一级),2064622616.63,,纯债基金
931,002548.OF,002548,嘉实稳瑞纯债债券,嘉实基金,"王立芹,韩同利,闫红蕾",中长期纯债券型基金,1477747465.66,,纯债基金
932,002549.OF,002549,嘉实稳祥纯债债券A,嘉实基金,王亚洲,中长期纯债券型基金,8247415592.12,A,纯债基金
933,002550.OF,002550,嘉实稳荣债券,嘉实基金,"程剑,闵锐",中长期纯债券型基金,1302620073.93,,纯债基金
934,002552.OF,002552,华夏恒利3个月定开债券,华夏基金,孙蕾,混合债券型基金(一级),2996858014.84,,纯债基金
935,002568.OF,002568,博时裕发纯债债券,博时基金,于渤洋,中长期纯债券型基金,1013607954.58,,纯债基金
937,002578.OF,002578,博时裕泉纯债债券,博时基金,李秋实,中长期纯债券型基金,5116718983.53,,纯债基金
941,002600.OF,002600,易方达裕景添利6个月定期开放债券,易方达基金,李一硕,混合债券型基金(一级),1838890483.94,,纯债基金
942,002603.OF,002603,工银瑞信瑞丰半年定期开放纯债债券,工银瑞信,李娜,中长期纯债券型基金,14931372786.95,,纯债基金
943,002625.OF,002625,博时安怡6个月定开债,博时基金,王帅,混合债券型基金(一级),305345188.13,,纯债基金
949,002638.OF,002638,兴业天融债券,兴业基金,雷志强,中长期纯债券型基金,9151058710.85,,纯债基金
959,002698.OF,002698,博时裕利纯债债券,博时基金,陈黎,中长期纯债券型基金,6120087730.91,,纯债基金
966,002716.OF,002716,博时裕通3个月定开债发起式A,博时基金,何平,中长期纯债券型基金,3061674865.57,A,纯债基金
980,002750.OF,002750,工银泰享三年理财债券,工银瑞信,陈桂都,中长期纯债券型基金,15379871170.64,,纯债基金
981,002754.OF,002754,博时裕创纯债,博时基金,李汉楠,中长期纯债券型基金,1030405799.96,,纯债基金
982,002755.OF,002755,博时裕盛纯债,博时基金,李汉楠,中长期纯债券型基金,483561067.25,,纯债基金
989,002781.OF,002781,博时聚瑞6个月定开债发起式,博时基金,于渤洋,中长期纯债券型基金,5168199941.82,,纯债基金
1004,002832.OF,002832,工银恒享纯债债券A,工银瑞信,"杨曼丽,陈桂都",中长期纯债券型基金,1410480277.99,A,纯债基金
1007,002864.OF,002864,广发安泽短债A,广发基金,刘志辉,短期纯债券型基金,1132833147.67,A,纯债基金
1009,002868.OF,002868,鹏华丰茂债券,鹏华基金,杜培俊,中长期纯债券型基金,1084740903.55,,纯债基金
1017,002898.OF,002898,富国两年期理财债券A,富国基金,俞晓斌,中长期纯债券型基金,19945022424.13,A,纯债基金
1021,002904.OF,002904,博时安仁一年定开债发起式A,博时基金,李汉楠,中长期纯债券型基金,3146111975.93,A,纯债基金
1028,002927.OF,002927,长盛盛和纯债A,长盛基金,王贵君,中长期纯债券型基金,2158254427.56,A,纯债基金
1030,002929.OF,002929,博时聚盈纯债债券,博时基金,于渤洋,中长期纯债券型基金,1329302407.16,,纯债基金
1031,002930.OF,002930,博时聚润纯债债券,博时基金,王帅,中长期纯债券型基金,490838858.18,,纯债基金
1042,002970.OF,002970,博时裕昂纯债债券,博时基金,李汉楠,中长期纯债券型基金,444299264.64,,纯债基金
1045,002985.OF,002985,中银季季红定期开放债券,中银基金,易芳菲,混合债券型基金(一级),43199664.5,,纯债基金
1048,002991.OF,002991,嘉实稳鑫纯债债券,嘉实基金,李卓锴,中长期纯债券型基金,2566976678.74,,纯债基金
1049,002994.OF,002994,招商招裕纯债A,招商基金,"王闯,康晶",中长期纯债券型基金,56879202.52,A,纯债基金
1062,003039.OF,003039,广发集富纯债A,广发基金,吴迪,中长期纯债券型基金,994954709.49,A,纯债基金
1066,003056.OF,003056,嘉实稳泽纯债债券A,嘉实基金,"闵锐,祝杨",中长期纯债券型基金,5023972610.45,A,纯债基金
1076,003102.OF,003102,长盛盛裕纯债A,长盛基金,王贵君,中长期纯债券型基金,5266344800.2,A,纯债基金
1089,003155.OF,003155,中加丰尚纯债债券A,中加基金,王霈,中长期纯债券型基金,1999426238.6,A,纯债基金
1094,003162.OF,003162,博时富宁纯债债券,博时基金,李秋实,中长期纯债券型基金,3066586040.38,,纯债基金
1103,003188.OF,003188,博时聚源纯债债券A,博时基金,黄海峰,中长期纯债券型基金,6264778474.28,A,纯债基金
1104,003192.OF,003192,创金合信尊丰纯债,创金合信基金,郑振源,混合债券型基金(一级),956252699.62,,纯债基金
1105,003193.OF,003193,创金合信尊智纯债A,创金合信基金,郑振源,混合债券型基金(一级),206215111.63,A,纯债基金
1115,003209.OF,003209,鹏华丰达债券,鹏华基金,杜培俊,中长期纯债券型基金,3923109767.64,,纯债基金
1117,003213.OF,003213,中银悦享定期开放债券,中银基金,白洁,中长期纯债券型基金,21790016961.42,,纯债基金
1118,003214.OF,003214,易方达富惠纯债债券A,易方达基金,李一硕,中长期纯债券型基金,882702961.45,A,纯债基金
1124,003223.OF,003223,广发景丰纯债,广发基金,吴迪,中长期纯债券型基金,8613325818.13,,纯债基金
1131,003258.OF,003258,博时富祥纯债债券A,博时基金,陈黎,中长期纯债券型基金,3218252233.26,A,纯债基金
1133,003260.OF,003260,博时利发纯债债券A,博时基金,王帅,中长期纯债券型基金,268941034.32,A,纯债基金
1134,003265.OF,003265,招商招坤纯债A,招商基金,郭敏,中长期纯债券型基金,3604674619.68,A,纯债基金
1136,003268.OF,003268,博时悦楚纯债债券A,博时基金,郭思洁,中长期纯债券型基金,1533651114.11,A,纯债基金
1137,003269.OF,003269,招商招乾3个月定开债发起式A,招商基金,王梓林,中长期纯债券型基金,4693273485.85,A,纯债基金
1143,003280.OF,003280,鹏华丰恒债券,鹏华基金,方昶,中长期纯债券型基金,18442890152.58,,纯债基金
1144,003285.OF,003285,国寿安保安康纯债债券,国寿安保基金,李一鸣,中长期纯债券型基金,13185993024.62,,纯债基金
1148,003289.OF,003289,创金合信尊泰纯债,创金合信基金,郑振源,混合债券型基金(一级),1023543216.05,,纯债基金
1149,003290.OF,003290,长城久稳债券A,长城基金,吴冰燕,中长期纯债券型基金,813272684.88,A,纯债基金
1153,003309.OF,003309,兴业启元一年定开债券A,兴业基金,唐丁祥,混合债券型基金(一级),437617635.62,A,纯债基金
1155,003313.OF,003313,中银睿享定期开放债券,中银基金,白洁,中长期纯债券型基金,24524897347.84,,纯债基金
1157,003315.OF,003315,景顺长城政策性金融债A,景顺长城基金,"陈健宾,何江波",中长期纯债券型基金,4464180195.03,A,纯债基金
1160,003327.OF,003327,万家鑫璟纯债A,万家基金,"周慧,周潜玮",中长期纯债券型基金,9483346543.34,A,纯债基金
1162,003329.OF,003329,万家鑫安纯债A,万家基金,"周慧,周潜玮",中长期纯债券型基金,982194886.13,A,纯债基金
1188,003417.OF,003417,中加丰泽纯债,中加基金,袁素,中长期纯债券型基金,950518028.91,,纯债基金
1193,003428.OF,003428,中加丰盈一年定期开放债券型发起式,中加基金,于跃,混合债券型基金(一级),2158417471.64,,纯债基金
1201,003445.OF,003445,中加丰享纯债债券,中加基金,王霈,中长期纯债券型基金,6205198503.25,,纯债基金
1206,003452.OF,003452,招商招盛纯债A,招商基金,李家辉,中长期纯债券型基金,6742883777.09,A,纯债基金
1208,003454.OF,003454,招商招通纯债A,招商基金,黄晓婷,中长期纯债券型基金,1893214672.57,A,纯债基金
1232,003528.OF,003528,汇添富长添利定期开放债券A,汇添富基金,杨靖,混合债券型基金(一级),15364876632.58,A,纯债基金
1238,003547.OF,003547,鹏华丰禄债券,鹏华基金,刘涛,中长期纯债券型基金,5059400476.21,,纯债基金
1246,003571.OF,003571,招商招琪纯债A,招商基金,王梓林,中长期纯债券型基金,7689435678.5,A,纯债基金
1252,003590.OF,003590,建信睿富纯债债券,建信基金,刘思,中长期纯债券型基金,7273084384.65,,纯债基金
1253,003605.OF,003605,景顺长城景泰汇利定期开放债券A,景顺长城基金,何江波,混合债券型基金(一级),6828654178.84,A,纯债基金
1255,003607.OF,003607,博时富益纯债债券,博时基金,于渤洋,中长期纯债券型基金,1993719379.51,,纯债基金
1265,003640.OF,003640,兴业裕丰债券,兴业基金,冯小波,中长期纯债券型基金,2483602670.21,,纯债基金
1268,003651.OF,003651,博时丰达6个月定开债发起式,博时基金,郭思洁,中长期纯债券型基金,310246447.05,,纯债基金
1271,003660.OF,003660,中加纯债两年债券A,中加基金,于跃,混合债券型基金(一级),792481778.03,A,纯债基金
1273,003662.OF,003662,鹏华永盛定期开放债券,鹏华基金,"祝松,杜培俊,应琛",混合债券型基金(一级),641832220.11,,纯债基金
1278,003671.OF,003671,兴业裕恒债券,兴业基金,雷志强,中长期纯债券型基金,2651052426.46,,纯债基金
1280,003673.OF,003673,中加丰裕纯债债券A,中加基金,王霈,中长期纯债券型基金,1934910314.28,A,纯债基金
1287,003703.OF,003703,博时富鑫纯债债券A,博时基金,"唐薇,张李陵",中长期纯债券型基金,1900066978.91,A,纯债基金
1292,003730.OF,003730,博时富华纯债债券,博时基金,李汉楠,中长期纯债券型基金,1080083956.66,,纯债基金
1296,003746.OF,003746,广发汇瑞3个月定期开放债券,广发基金,赵子良,中长期纯债券型基金,7396358524.57,,纯债基金
1301,003770.OF,003770,中银丰庆定期开放债券,中银基金,白洁,中长期纯债券型基金,5633582525.35,,纯债基金
1310,003809.OF,003809,招商招顺纯债A,招商基金,刘万锋,中长期纯债券型基金,1680259438.04,A,纯债基金
1317,003832.OF,003832,中银丰润定期开放债券,中银基金,易芳菲,中长期纯债券型基金,16843138925.33,,纯债基金
1321,003847.OF,003847,华安鼎丰债券发起式A,华安基金,"李邦长,康钊,郑如熙",中长期纯债券型基金,4000447015.24,A,纯债基金
1322,003859.OF,003859,招商招旭纯债A,招商基金,郭敏,中长期纯债券型基金,5765290357.47,A,纯债基金
1324,003863.OF,003863,招商招祥纯债A,招商基金,"马龙,王梓林",中长期纯债券型基金,8082899883.78,A,纯债基金
1329,003869.OF,003869,长信稳势纯债债券,长信基金,"杜国昊,邹依恩",中长期纯债券型基金,4686377329.18,,纯债基金
1331,003880.OF,003880,嘉实稳骏纯债债券,嘉实基金,"闵锐,祝杨",中长期纯债券型基金,3036185883.14,,纯债基金
1339,003929.OF,003929,中银证券安进债券A,中银证券,"余亮,王玉玺",中长期纯债券型基金,33785904302.12,A,纯债基金
1341,003949.OF,003949,兴全稳泰债券A,兴证全球基金,王帅,中长期纯债券型基金,18068765249.93,A,纯债基金
1349,003983.OF,003983,鹏华丰惠债券,鹏华基金,杜培俊,中长期纯债券型基金,1661751702.2,,纯债基金
1353,004020.OF,004020,广发景祥纯债,广发基金,赵子良,中长期纯债券型基金,2311162565.79,,纯债基金
1359,004027.OF,004027,广发景源纯债A,广发基金,"刘志辉,方抗",中长期纯债券型基金,2873222978.84,A,纯债基金
