,thscode,ths_fund_code_fund,ths_fund_short_name_fund,ths_fund_supervisor_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,ths_mergesize_fund,ACEtype,Fundtype
4086,013723.OF,013723,上银聚顺益一年定开债券发起式,上银基金,"蔡唯峰,楼昕宇",中长期纯债券型基金,1014315598.78,,纯债基金
4089,013728.OF,013728,创金合信恒宁30天滚动持有短债A,创金合信基金,"谢创,黄佳祥",混合债券型基金(一级),2650396466.5,A,纯债基金
4103,013780.OF,013780,华夏鼎丰债券,华夏基金,孙蕾,中长期纯债券型基金,2617008671.02,,纯债基金
4108,013799.OF,013799,财通安裕30天持有期中短债债券A,财通基金,"罗晓倩,闫梦璇",短期纯债券型基金,7072692166.13,A,纯债基金
4111,013804.OF,013804,财通资管鸿越3个月滚动持有债券A,财通证券资管,陈希希,混合债券型基金(一级),2135585840.88,A,纯债基金
4115,013808.OF,013808,易方达稳悦120天滚动短债A,易方达基金,"刘琬姝,李一硕",短期纯债券型基金,613302733.05,A,纯债基金
4120,013821.OF,013821,南方定利一年定开债券,南方基金,金凌志,中长期纯债券型基金,5347337925.87,,纯债基金
4126,013838.OF,013838,中银恒嘉60天滚动持有短债A,中银基金,"朱水媚,白洁",短期纯债券型基金,73857263.79,A,纯债基金
4131,013864.OF,013864,平安元泓30天滚动持有短债A,平安基金,"刘晓兰,欧阳亮",混合债券型基金(一级),584175707.19,A,纯债基金
4134,013875.OF,013875,鑫元合享纯债D,鑫元基金,郭卉,中长期纯债券型基金,387970847.1,,纯债基金
4135,013901.OF,013901,华安众享180天持有期中短债A,华安基金,郑如熙,混合债券型基金(一级),443572461.98,A,纯债基金
4137,013931.OF,013931,博时富恒一年定开债发起式,博时基金,黄海峰,中长期纯债券型基金,2550015708.56,,纯债基金
4140,013952.OF,013952,工银瑞和3个月定期开放债券A,工银瑞信,"张略钊,赵建",中长期纯债券型基金,1184045350.32,A,纯债基金
4150,013976.OF,013976,财通资管鸿佳60天滚动持有发起式中短债A,财通证券资管,李杰,短期纯债券型基金,1546688910.46,A,纯债基金
4160,014004.OF,014004,博时富璟一年定开债,博时基金,黄海峰,中长期纯债券型基金,7274594176.48,,纯债基金
4162,014012.OF,014012,蜂巢丰吉纯债A,蜂巢基金,金之洁,中长期纯债券型基金,1042025490.37,A,纯债基金
4167,014059.OF,014059,富国安慧短债债券A,富国基金,"张波,吴旅忠",短期纯债券型基金,136940203.78,A,纯债基金
4180,014097.OF,014097,鹏扬利鑫60天滚动持有债券A,鹏扬基金,"黄乐婷,陈钟闻",混合债券型基金(一级),3603865346.93,A,纯债基金
4184,014105.OF,014105,长城信利一年定开债券发起式,长城基金,"魏建,吴冰燕",中长期纯债券型基金,2080812057.58,,纯债基金
4193,014230.OF,014230,国泰瑞丰纯债债券,国泰基金,索峰,中长期纯债券型基金,3034463477.78,,纯债基金
4194,014231.OF,014231,国寿安保安锦纯债一年定开债券发起式,国寿安保基金,卢珊,混合债券型基金(一级),2406879885.5,,纯债基金
4195,014234.OF,014234,永赢轩益债券,永赢基金,章成,中长期纯债券型基金,2039563137.9,,纯债基金
4197,014242.OF,014242,农银悦利债券,农银汇理基金,郭振宇,中长期纯债券型基金,1608110064.81,,纯债基金
4198,014248.OF,014248,兴业一年持有期债券A,兴业基金,"蔡艳菲,周鸣",混合债券型基金(一级),2603241119.76,A,纯债基金
4200,014250.OF,014250,建信鑫怡90天滚动持有中短债债券A,建信基金,"徐华婧,陈建良",短期纯债券型基金,995200738.77,A,纯债基金
4202,014252.OF,014252,华泰柏瑞鸿裕90天滚动持有短债A,华泰柏瑞基金,"郑青,何子建,王烨斌",短期纯债券型基金,125401082.75,A,纯债基金
4204,014257.OF,014257,国联恒泽纯债A,国联基金,石霄蒙,中长期纯债券型基金,755791326.87,A,纯债基金
4216,014315.OF,014315,鹏华双季享180天持有期债券A,鹏华基金,刘涛,中长期纯债券型基金,9749161431.88,A,纯债基金
4222,014367.OF,014367,招商添悦纯债D,招商基金,刘万锋,中长期纯债券型基金,8211262708.58,,纯债基金
4232,014392.OF,014392,嘉实致乾纯债债券,嘉实基金,"赵国英,崔思维,陈硕",中长期纯债券型基金,1690297310.87,,纯债基金
4242,014435.OF,014435,中航瑞夏一年定开债发起A,中航基金,"茅勇峰,汪术勤",中长期纯债券型基金,4091451332.13,A,纯债基金
4247,014446.OF,014446,鹏华稳瑞中短债,鹏华基金,"叶朝明,王康佳",短期纯债券型基金,4635106720.12,,纯债基金
4251,014452.OF,014452,天弘惠享一年定开债券发起,天弘基金,柴文婷,混合债券型基金(一级),1011818263.15,,纯债基金
4256,014464.OF,014464,交银裕道纯债一年定期开放债券发起,交银施罗德,季参平,中长期纯债券型基金,2540571141.77,,纯债基金
4260,014474.OF,014474,中欧安悦一年定开债券发起,中欧基金,LI TONG,中长期纯债券型基金,10061135.72,,纯债基金
4262,014476.OF,014476,山西证券90天滚动持有短债A,山西证券,"刘凌云,缪佳",短期纯债券型基金,1121771375.41,A,纯债基金
4264,014480.OF,014480,华夏鼎优债券A,华夏基金,张海静,中长期纯债券型基金,3031441240.8,A,纯债基金
4279,014504.OF,014504,鹏扬淳开债券D,鹏扬基金,"王黎骁,陈钟闻",中长期纯债券型基金,504706110.52,,纯债基金
4283,014517.OF,014517,华夏30天滚动短债债券发起式A,华夏基金,张海静,短期纯债券型基金,273005700.44,A,纯债基金
4285,014552.OF,014552,中航瑞华ESG一年定开债发起A,中航基金,"茅勇峰,李祥源",中长期纯债券型基金,1028430270.01,EA,纯债基金
4293,014638.OF,014638,银华安鑫短债债券D,银华基金,"王树丽,魏昕宇",短期纯债券型基金,5876694481.08,,纯债基金
4309,014714.OF,014714,工银瑞兴一年定开纯债债券发起式,工银瑞信,张略钊,中长期纯债券型基金,1051124720.97,,纯债基金
4313,014721.OF,014721,富国碳中和一年定期开放债券发起式,富国基金,"刘瀚驰,吕春杰",中长期纯债券型基金,2021692008.53,,纯债基金
4317,014740.OF,014740,财通资管鸿商中短债A,财通证券资管,"陈希希,王珊",短期纯债券型基金,102903549.9,A,纯债基金
4326,014778.OF,014778,国寿安保安和纯债,国寿安保基金,"高鑫,李一鸣",中长期纯债券型基金,909624348.28,,纯债基金
4333,014815.OF,014815,财通资管鸿慧中短债发起式A,财通证券资管,王珊,短期纯债券型基金,122246279.4,A,纯债基金
4343,014856.OF,014856,建信鑫享短债债券A,建信基金,"吴沛文,李星佑",短期纯债券型基金,1634914597.64,A,纯债基金
4345,014858.OF,014858,建信鑫享短债债券F,建信基金,"李星佑,吴沛文",短期纯债券型基金,1634914597.64,,纯债基金
4359,014952.OF,014952,国泰睿鸿一年定期开放债券发起式,国泰基金,刘嵩扬,中长期纯债券型基金,508395267.14,,纯债基金
4362,014959.OF,014959,华泰柏瑞益兴三个月定开债券,华泰柏瑞基金,何子建,中长期纯债券型基金,615596916.84,,纯债基金
4363,014965.OF,014965,国投瑞银顺和一年定开债发起式,国投瑞银基金,"李鸥,敬夏玺",中长期纯债券型基金,3545896331.35,,纯债基金
4364,014966.OF,014966,永赢坤益债券,永赢基金,"钱布克,谢越",中长期纯债券型基金,2038960202.6,,纯债基金
4367,014973.OF,014973,景顺景泰悦利三个月定开债A,景顺长城基金,"赵天彤,彭成军",中长期纯债券型基金,4866485921.25,A,纯债基金
4375,015018.OF,015018,西部利得双兴一年定开债券发起,西部利得基金,"李安然,刘心峰",中长期纯债券型基金,511365129.3,,纯债基金
4381,015049.OF,015049,招商添安1年定开债,招商基金,马龙,中长期纯债券型基金,14902161213.18,,纯债基金
4388,015081.OF,015081,兴业90天滚动持有中短债A,兴业基金,刘禹含,短期纯债券型基金,5225720958.020001,A,纯债基金
4402,015209.OF,015209,华夏鼎成一年定开债券,华夏基金,"孙蕾,张海静",中长期纯债券型基金,2095838626.65,,纯债基金
4409,015255.OF,015255,农银金耀定开债券,农银汇理基金,王明君,中长期纯债券型基金,3153796905.68,,纯债基金
4412,015260.OF,015260,鹏华永鑫一年定开债券,鹏华基金,邓明明,中长期纯债券型基金,8075046217.07,,纯债基金
4413,015263.OF,015263,淳厚稳荣一年定开债发起,淳厚基金,"江文军,张蕊",中长期纯债券型基金,2108593616.47,,纯债基金
4419,015301.OF,015301,博时双季乐六个月持有期债券A,博时基金,张李陵,中长期纯债券型基金,245722326.56,A,纯债基金
4423,015315.OF,015315,富国汇享三个月定期开放债券A,富国基金,"吕春杰,李金柳,张洋",中长期纯债券型基金,3027206402.71,A,纯债基金
4446,015397.OF,015397,博时富鸿金融债3个月定开债,博时基金,"黄海峰,胥艺",中长期纯债券型基金,4008310866.68,,纯债基金
4456,015423.OF,015423,浦银安盛普裕一年定开债券,浦银安盛基金,章潇枫,中长期纯债券型基金,2648343229.78,,纯债基金
4473,015469.OF,015469,永赢湖北国企债一年定开发起,永赢基金,"杨凡颖,余国豪",中长期纯债券型基金,2150260104.68,,纯债基金
4475,015471.OF,015471,万家鑫橙纯债债券A,万家基金,"周潜玮,石东",中长期纯债券型基金,3213605916.99,A,纯债基金
4477,015473.OF,015473,工银瑞恒3个月定开债券A,工银瑞信,王朔,中长期纯债券型基金,2366607586.3,A,纯债基金
4486,015487.OF,015487,蜂巢丰泰三个月定开债券A,蜂巢基金,李海涛,混合债券型基金(一级),1583973941.54,A,纯债基金
4490,015492.OF,015492,中航瑞发3个月定开债A,中航基金,"汪术勤,茅勇峰",中长期纯债券型基金,2009393729.06,A,纯债基金
4498,015516.OF,015516,建信鑫恒120天滚动持有中短债债券A,建信基金,"徐华婧,彭紫云",短期纯债券型基金,4637258250.66,A,纯债基金
4504,015530.OF,015530,鹏华稳福中短债债券A,鹏华基金,"叶朝明,王康佳",短期纯债券型基金,456408022.13,A,纯债基金
4515,015552.OF,015552,中加安盈一年定开债券发起,中加基金,于跃,中长期纯债券型基金,516988509.42,,纯债基金
4517,015569.OF,015569,招商招裕纯债D,招商基金,"康晶,王闯",中长期纯债券型基金,56879202.52,,纯债基金
4519,015581.OF,015581,国寿安保泰然纯债债券,国寿安保基金,丁宇佳,中长期纯债券型基金,405876498.19,,纯债基金
4533,015622.OF,015622,平安合禧1年定开债发起式,平安基金,"张璐,段玮婧",中长期纯债券型基金,215351182.1,,纯债基金
4534,015624.OF,015624,国投瑞银顺晖一年定开债发起式,国投瑞银基金,李鸥,中长期纯债券型基金,5120130618.41,,纯债基金
4537,015629.OF,015629,招商添兴6个月定开债,招商基金,刘万锋,中长期纯债券型基金,6578813730.67,,纯债基金
4545,015653.OF,015653,鹏华永平6个月定开债券,鹏华基金,"祝松,邓明明",中长期纯债券型基金,2200963017.09,,纯债基金
4546,015654.OF,015654,交银稳鑫短债债券D,交银施罗德,"黄莹洁,姬静",短期纯债券型基金,7955027518.270001,,纯债基金
4559,015720.OF,015720,平安元悦60天滚动持有短债A,平安基金,"刘晓兰,张璐",短期纯债券型基金,58144940.14,A,纯债基金
4565,015736.OF,015736,长盛盛裕纯债D,长盛基金,王贵君,中长期纯债券型基金,5266344800.2,,纯债基金
4566,015746.OF,015746,博时四月享120天持有期债券A,博时基金,倪玉娟,中长期纯债券型基金,102794382.84,A,纯债基金
4580,015811.OF,015811,兴证全球恒泰一年定开债券发起式,兴证全球基金,季伟杰,中长期纯债券型基金,5046399415.69,,纯债基金
4581,015815.OF,015815,浦银稳鑫120天滚动持有中短债A,浦银安盛基金,曹治国,短期纯债券型基金,3300175443.55,A,纯债基金
4591,015830.OF,015830,平安惠复纯债A,平安基金,"张璐,韩克",中长期纯债券型基金,1015672175.34,A,纯债基金
4593,015832.OF,015832,永赢宏泰短债A,永赢基金,徐沛琳,短期纯债券型基金,538165962.62,A,纯债基金
4595,015834.OF,015834,汇添富鑫和纯债A,汇添富基金,杨靖,中长期纯债券型基金,2436199585.71,A,纯债基金
4603,015848.OF,015848,天弘合益D,天弘基金,"潘昱杉,程明",中长期纯债券型基金,4121125124.47,,纯债基金
4605,015852.OF,015852,华泰柏瑞益安三个月定开债券,华泰柏瑞基金,罗远航,中长期纯债券型基金,1066157177.24,,纯债基金
4606,015853.OF,015853,汇添富稳安三个月持有债券A,汇添富基金,杨靖,混合债券型基金(一级),93681414.83,A,纯债基金
4609,015858.OF,015858,浦银安盛盛嘉一年定开债券发起式,浦银安盛基金,陶祺,中长期纯债券型基金,5133491818.13,,纯债基金
4618,015893.OF,015893,广发景益债券,广发基金,吴迪,中长期纯债券型基金,2756308781.26,,纯债基金
4624,015913.OF,015913,华夏鼎安一年定开债券发起式,华夏基金,吴彬,中长期纯债券型基金,10533724.66,,纯债基金
4625,015917.OF,015917,兴业30天滚动持有中短债A,兴业基金,"刘禹含,王卓然",短期纯债券型基金,4419801797.28,A,纯债基金
4629,015925.OF,015925,万家鑫融纯债债券A,万家基金,"周潜玮,周慧",中长期纯债券型基金,3040210795.53,A,纯债基金
4642,015949.OF,015949,上银聚恒益一年定开债券发起式,上银基金,葛沁沁,中长期纯债券型基金,5071115249.55,,纯债基金
4653,015969.OF,015969,博时富尊一年定开债发起式,博时基金,"黄海峰,王帅",混合债券型基金(一级),1555822453.15,,纯债基金
4666,016009.OF,016009,中加博盈一年定开债券发起,中加基金,于跃,中长期纯债券型基金,2037067177.26,,纯债基金
4667,016011.OF,016011,西部利得沣享债券A,西部利得基金,刘心峰,中长期纯债券型基金,3366944630.6,A,纯债基金
4672,016023.OF,016023,兴业添益6个月定开债券,兴业基金,"周鸣,倪侃",中长期纯债券型基金,3292191003.57,,纯债基金
4673,016024.OF,016024,工银稳健丰瑞90天持有短债A,工银瑞信,"张略钊,姚璐伟",短期纯债券型基金,1643741500.41,A,纯债基金
4678,016031.OF,016031,民生加银瑞华绿债一年定开发起式,民生加银基金,"李文君,裴禹翔",中长期纯债券型基金,314301498.59,,纯债基金
4680,016034.OF,016034,建信鑫福60天持有期中短债债券A,建信基金,"徐华婧,彭紫云,胡泽元",短期纯债券型基金,1556861333.7,A,纯债基金
4699,016111.OF,016111,鹏华丰尊债券,鹏华基金,王康佳,中长期纯债券型基金,6134063776.65,,纯债基金
4720,016172.OF,016172,鹏扬利泽债券D,鹏扬基金,"焦翠,陈钟闻",短期纯债券型基金,9857354601.19,,纯债基金
4722,016184.OF,016184,长城鼎利一年定开债券发起式,长城基金,张棪,中长期纯债券型基金,2027029625.29,,纯债基金
4723,016189.OF,016189,国联恒通纯债A,国联基金,石霄蒙,中长期纯债券型基金,7295101551.04,A,纯债基金
4725,016191.OF,016191,永赢安悦60天持有期中短债债券A,永赢基金,卢绮婷,短期纯债券型基金,1014956780.79,A,纯债基金
4732,016208.OF,016208,华泰柏瑞锦汇债券,华泰柏瑞基金,何子建,中长期纯债券型基金,1001913499.38,,纯债基金
4735,016212.OF,016212,中银证券安添3个月定开债券A,中银证券,"曹张琪,王玉玺",中长期纯债券型基金,528652398.93,A,纯债基金
4737,016235.OF,016235,浦银安盛普诚纯债债券A,浦银安盛基金,"陶祺,章潇枫",中长期纯债券型基金,6153407591.25,A,纯债基金
4742,016247.OF,016247,天弘裕享一年定开债券发起,天弘基金,潘昱杉,中长期纯债券型基金,1027744191.69,,纯债基金
4747,016296.OF,016296,英大通佑一年定开债券,英大基金,"吕一楠,韩坪,易祺坤",混合债券型基金(一级),8155610288.2,,纯债基金
4774,016396.OF,016396,交银稳益短债债券A,交银施罗德,黄莹洁,短期纯债券型基金,4217418384.49,A,纯债基金
4784,016411.OF,016411,招商添文1年定开债发起式,招商基金,李家辉,中长期纯债券型基金,1523073260.48,,纯债基金
4797,016426.OF,016426,国泰信瑞纯债债券,国泰基金,"刘嵩扬,索峰,胡智磊",中长期纯债券型基金,2900883923.83,,纯债基金
4798,016427.OF,016427,汇添富丰利短债D,汇添富基金,"郑文旭,胡娜",短期纯债券型基金,3548156251.13,,纯债基金
4801,016432.OF,016432,财通资管睿兴债券A,财通证券资管,李杰,中长期纯债券型基金,15062600.83,A,纯债基金
4818,016483.OF,016483,国泰利盈60天滚动持有中短债A,国泰基金,陶然,短期纯债券型基金,2596226318.54,A,纯债基金
4820,016497.OF,016497,建信鑫享短债债券D,建信基金,"李星佑,吴沛文",短期纯债券型基金,1634914597.64,,纯债基金
4822,016510.OF,016510,嘉实年年红一年持有债券发起式A,嘉实基金,轩璇,混合债券型基金(一级),267941067.69,A,纯债基金
4827,016526.OF,016526,招商鑫诚短债A,招商基金,李家辉,短期纯债券型基金,641064113.62,A,纯债基金
4839,016585.OF,016585,富国汇泽一年定期开放债券A,富国基金,"吕春杰,李金柳",中长期纯债券型基金,6067728653.64,A,纯债基金
4850,016609.OF,016609,鹏华丰启债券,鹏华基金,方昶,中长期纯债券型基金,1620785377.22,,纯债基金
4855,016614.OF,016614,中欧尊悦一年定开债券发起,中欧基金,LI TONG,中长期纯债券型基金,3047427923.87,,纯债基金
4878,016674.OF,016674,永赢安泰中短债A,永赢基金,卢绮婷,短期纯债券型基金,565591326.2,A,纯债基金
4883,016689.OF,016689,中银淳享一年定开债券发起式,中银基金,"李宪,易芳菲",中长期纯债券型基金,2056262494.31,,纯债基金
4888,016695.OF,016695,天弘招利短债A,天弘基金,"程仕湘,刘莹",短期纯债券型基金,2193942399.84,A,纯债基金
4917,016790.OF,016790,招商鑫利中短债债券A,招商基金,李家辉,短期纯债券型基金,806575054.55,A,纯债基金
4920,016793.OF,016793,大成惠昭一年定开债券发起式,大成基金,曾婷婷,中长期纯债券型基金,2549491273.63,,纯债基金
4925,016799.OF,016799,建信鑫和30天持有期债券A,建信基金,"吴沛文,彭紫云",中长期纯债券型基金,1612557155.82,A,纯债基金
4935,016812.OF,016812,长信稳航30天持有中短债债券A,长信基金,"邹依恩,杜国昊",短期纯债券型基金,2630856078.83,A,纯债基金
4937,016816.OF,016816,兴业120天滚动持有债券A,兴业基金,刘禹含,中长期纯债券型基金,658783076.26,A,纯债基金
4951,016871.OF,016871,华富吉富30天滚动持有中短债A,华富基金,倪莉莎,短期纯债券型基金,153581502.33,A,纯债基金
4953,016875.OF,016875,交银稳安30天滚动持有债券A,交银施罗德,黄莹洁,中长期纯债券型基金,70423510.01,A,纯债基金
4961,016885.OF,016885,山西证券裕泽债券发起式A,山西证券,"刘凌云,缪佳",中长期纯债券型基金,64837796.47,A,纯债基金
4968,016914.OF,016914,博时富泽金融债,博时基金,陈黎,中长期纯债券型基金,1523065000.51,,纯债基金
4970,016925.OF,016925,华夏鼎辉债券A,华夏基金,吴彬,中长期纯债券型基金,2217118612.04,A,纯债基金
4972,016928.OF,016928,万家鑫怡债券A,万家基金,周潜玮,中长期纯债券型基金,6323248265.25,A,纯债基金
4981,016947.OF,016947,国泰利安中短债债券A,国泰基金,陶然,短期纯债券型基金,3080110973.8,A,纯债基金
4983,016951.OF,016951,鹏华丰顺债券,鹏华基金,杜培俊,中长期纯债券型基金,1300098145.27,,纯债基金
4984,016955.OF,016955,国联恒润纯债A,国联基金,石霄蒙,中长期纯债券型基金,1502853442.83,A,纯债基金
4996,017006.OF,017006,永赢月月享30天持有期短债A,永赢基金,"王宇超,杨凡颖",短期纯债券型基金,229594080.92,A,纯债基金
5002,017024.OF,017024,天弘通享债券发起A,天弘基金,潘昱杉,中长期纯债券型基金,1112740551.83,A,纯债基金
5026,017129.OF,017129,嘉实致泰一年定开纯债债券发起式,嘉实基金,轩璇,中长期纯债券型基金,6126449367.09,,纯债基金
5030,017137.OF,017137,长盛盛逸9个月持有期债券A,长盛基金,王贵君,混合债券型基金(一级),1963523773.85,A,纯债基金
5045,017201.OF,017201,山西证券丰盈180天滚动持有中短债A,山西证券,"刘凌云,缪佳",短期纯债券型基金,637035079.16,A,纯债基金
5053,017305.OF,017305,国寿安保超短债债券A,国寿安保基金,丁宇佳,短期纯债券型基金,68335062.26,A,纯债基金
5055,017307.OF,017307,招商鑫嘉中短债债券A,招商基金,李家辉,短期纯债券型基金,51798759.16,A,纯债基金
5060,017314.OF,017314,国泰利享安益短债债券A,国泰基金,"陈育洁,丁士恒",短期纯债券型基金,2275822282.69,A,纯债基金
5062,017328.OF,017328,永赢季季享90天持有期中短债债券A,永赢基金,"卢绮婷,章成",短期纯债券型基金,743250950.52,A,纯债基金
5066,017428.OF,017428,国泰鑫裕纯债债券,国泰基金,索峰,中长期纯债券型基金,6060820912.6,,纯债基金
5067,017432.OF,017432,交银稳安60天滚动持有债券A,交银施罗德,姬静,中长期纯债券型基金,61127896.82,A,纯债基金
5069,017438.OF,017438,博时安悦短债A,博时基金,黄海峰,短期纯债券型基金,1123273814.75,A,纯债基金
5090,017500.OF,017500,兴业嘉辰一年定开债券发起式,兴业基金,"冯小波,雷志强",中长期纯债券型基金,4910232334.89,,纯债基金
5093,017529.OF,017529,财通安益中短债债券A,财通基金,闫梦璇,短期纯债券型基金,251934280.63,A,纯债基金
5118,017614.OF,017614,工银瑞福纯债债券F,工银瑞信,李娜,中长期纯债券型基金,23742070.29,,纯债基金
5122,017659.OF,017659,汇添富稳丰中短债债券A,汇添富基金,胡娜,短期纯债券型基金,254669734.39,A,纯债基金
5126,017671.OF,017671,普旭浦银安盛普旭3个月定开债券,浦银安盛基金,曹治国,中长期纯债券型基金,6580357333.23,,纯债基金
5129,017681.OF,017681,建信睿安一年定期开放债券发起,建信基金,刘思,中长期纯债券型基金,510000000.0,,纯债基金
5131,017687.OF,017687,永赢昭利债券A,永赢基金,杨凡颖,中长期纯债券型基金,2743043755.01,A,纯债基金
5136,017695.OF,017695,招商添轩1年定开债,招商基金,刘万锋,中长期纯债券型基金,6660330783.26,,纯债基金
5154,017777.OF,017777,工银开元利率债债券F,工银瑞信,张略钊,中长期纯债券型基金,1428409611.35,,纯债基金
5163,017812.OF,017812,华安鼎盈一年定开债发起式,华安基金,康钊,中长期纯债券型基金,5092034812.34,,纯债基金
5186,018011.OF,018011,交银稳安90天持有期债券A,交银施罗德,姬静,中长期纯债券型基金,1949475064.89,A,纯债基金
5196,018085.OF,018085,汇添富稳合4个月持有债券A,汇添富基金,胡娜,混合债券型基金(一级),720309133.45,A,纯债基金
5208,018169.OF,018169,嘉实致诚纯债债券,嘉实基金,"程剑,祝杨,闵锐",中长期纯债券型基金,7174689882.59,,纯债基金
5213,018196.OF,018196,兴证全球恒远债券A,兴证全球基金,"邓娟,季伟杰",中长期纯债券型基金,5908410497.58,A,纯债基金
5221,018252.OF,018252,上银聚合益一年定开债券发起式,上银基金,楼昕宇,中长期纯债券型基金,5040810325.2,,纯债基金
5224,018256.OF,018256,国寿安保安泰三个月定开债券,国寿安保基金,卢珊,中长期纯债券型基金,6999997953.03,,纯债基金
5229,018275.OF,018275,蜂巢丰嘉债券A,蜂巢基金,"李海涛,彭朝阳",中长期纯债券型基金,3922404871.36,A,纯债基金
5242,018407.OF,018407,博时富耀一年定开债发起式,博时基金,"魏桢,李更,李汉楠",混合债券型基金(一级),2009999900.0,,纯债基金
5263,018559.OF,018559,广发景佳纯债,广发基金,赵子良,中长期纯债券型基金,210017261.0,,纯债基金
5267,018584.OF,018584,浦银安盛普兴3个月定开债券,浦银安盛基金,"李羿,陶祺",中长期纯债券型基金,7990008096.87,,纯债基金
5277,018666.OF,018666,鹏扬利沣短债D,鹏扬基金,"陈钟闻,王黎骁",短期纯债券型基金,907975529.85,,纯债基金
5302,040040.OF,040040,华安纯债债券A,华安基金,郑如熙,中长期纯债券型基金,4009834586.61,A,纯债基金
5304,040045.OF,040045,华安添鑫中短债A,华安基金,"郑如熙,马晓璇",短期纯债券型基金,3521506426.77,A,纯债基金
5310,050027.OF,050027,博时信用债纯债债券A,博时基金,张李陵,中长期纯债券型基金,14221786482.36,A,纯债基金
5312,050106.OF,050106,博时稳定价值债券A,博时基金,"罗霄,张李陵",混合债券型基金(一级),3385454789.46,A,纯债基金
5319,070005.OF,070005,嘉实债券,嘉实基金,轩璇,混合债券型基金(一级),938590034.67,,纯债基金
5324,070025.OF,070025,嘉实信用债券A,嘉实基金,"王立芹,赵国英",混合债券型基金(一级),3553410325.52,A,纯债基金
5326,070037.OF,070037,嘉实纯债债券A,嘉实基金,轩璇,中长期纯债券型基金,5933972671.66,A,纯债基金
5331,090021.OF,090021,大成月添利一个月滚动持有中短债债券A,大成基金,曾婷婷,短期纯债券型基金,27753282.43,A,纯债基金
5336,100018.OF,100018,富国天利增长债券A,富国基金,黄纪亮,混合债券型基金(一级),14652494839.64,A,纯债基金
5341,100058.OF,100058,富国产业债A,富国基金,"黄纪亮,武磊",混合债券型基金(一级),9017653142.91,A,纯债基金
5342,100066.OF,100066,富国纯债债券发起式A/B,富国基金,"吕春杰,张洋",中长期纯债券型基金,4860187522.97,AB,纯债基金
5344,100072.OF,100072,富国强回报定期开放债券A,富国基金,黄纪亮,中长期纯债券型基金,1190358322.85,A,纯债基金
5352,110035.OF,110035,易方达双债增强债券A,易方达基金,"田鑫,王晓晨",混合债券型基金(一级),19139249516.6,A,纯债基金
5357,110051.OF,110051,易方达安和中短债债券A,易方达基金,梁莹,短期纯债券型基金,3156421235.71,A,纯债基金
5359,110053.OF,110053,易方达安源中短债债券A,易方达基金,李一硕,短期纯债券型基金,7351580094.46,A,纯债基金
5367,160602.OF,160602,鹏华普天债券A,鹏华基金,刘涛,混合债券型基金(一级),3601308362.48,A,纯债基金
5404,202103.OF,202103,南方多利增强债券A,南方基金,李璇,混合债券型基金(一级),6646000864.32,A,纯债基金
5407,202108.OF,202108,南方润元纯债债券A/B,南方基金,金凌志,中长期纯债券型基金,2437647134.86,AB,纯债基金
5419,217003.OF,217003,招商安泰债券A,招商基金,刘万锋,混合债券型基金(一级),2753467339.32,A,纯债基金
5423,217022.OF,217022,招商产业债券A,招商基金,马龙,混合债券型基金(一级),18855871303.16,A,纯债基金
5440,261001.OF,261001,景顺长城稳定收益债券A,景顺长城基金,"李训练,何江波",混合债券型基金(一级),205265327.86,A,纯债基金
5447,270043.OF,270043,广发理财年年红债券,广发基金,吴迪,短期纯债券型基金,8061630601.78,,纯债基金
5451,270048.OF,270048,广发纯债债券A,广发基金,宋倩倩,中长期纯债券型基金,14247154876.68,A,纯债基金
