,thscode,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
0,070005.OF,嘉实债券,轩璇,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
1,070025.OF,嘉实信用债券A,"王立芹,赵国英",混合债券型基金(一级),轮动基金,轮动基金,稳定大,稳定信用债,0
2,070037.OF,嘉实纯债债券A,轩璇,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
3,100018.OF,富国天利增长债券A,黄纪亮,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
4,100058.OF,富国产业债A,"黄纪亮,武磊",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
5,100066.OF,富国纯债债券发起式A/B,"吕春杰,张洋",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
6,100072.OF,富国强回报定期开放债券A,黄纪亮,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
7,110035.OF,易方达双债增强债券A,"田鑫,王晓晨",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
8,160602.OF,鹏华普天债券A,刘涛,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
9,202103.OF,南方多利增强债券A,李璇,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
10,202108.OF,南方润元纯债债券A/B,金凌志,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
11,217003.OF,招商安泰债券A,刘万锋,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
12,217022.OF,招商产业债券A,马龙,混合债券型基金(一级),轮动基金,轮动基金,稳定中,稳定信用债,0
13,261001.OF,景顺长城稳定收益债券A,"李训练,何江波",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
14,270043.OF,广发理财年年红债券,吴迪,短期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
15,270048.OF,广发纯债债券A,宋倩倩,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
16,400009.OF,东方稳健回报债券A,刘长俊,混合债券型基金(一级),,,轮动基金,稳定信用债,0
17,485105.OF,工银增强收益债券A,"杜海涛,张略钊",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
18,485107.OF,工银添利债券A,谷衡,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
19,519137.OF,海富通瑞福债券A,"方昆明,张靖爽",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
20,519138.OF,海富通瑞祥一年定开债券,张靖爽,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
21,519206.OF,万家年年恒荣A,"谷丹青,徐青",混合债券型基金(一级),,,轮动基金,稳定信用债,0
22,519225.OF,海富通集利债券,方昆明,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
23,519322.OF,浦银安盛盛元定开债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
24,519324.OF,浦银安盛盛鑫定开债券A,章潇枫,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
25,519328.OF,浦银安盛盛泰纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
26,519330.OF,浦银安盛盛跃纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,0
27,519332.OF,浦银安盛盛达纯债债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
28,519334.OF,浦银安盛盛勤定开债券A,李羿,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,1
29,519680.OF,交银增利债券A/B,"张顺晨,魏玉敏",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
30,519718.OF,交银纯债债券A/B,"于海颖,魏玉敏",中长期纯债券型基金,稳定大基金公司,稳定中,稳定中,稳定信用债,0
31,519743.OF,交银丰润收益债券A,季参平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
32,519746.OF,交银丰享收益债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
33,519762.OF,交银裕通纯债债券A,季参平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
34,519776.OF,交银裕盈纯债债券A,"于海颖,姬静",中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,0
35,519782.OF,交银裕隆纯债债券A,黄莹洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
36,519784.OF,交银境尚收益债券A,"姬静,黄莹洁",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
37,530021.OF,建信纯债A,"黎颖芳,彭紫云",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
38,650001.OF,英大纯债债券A,"张大铮,张婧珣,易祺坤",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
39,675041.OF,西部利得合享A,刘心峰,混合债券型基金(一级),稳定大基金公司,轮动基金,稳定中,稳定信用债,0
40,960040.OF,南方多利增强债券H,李璇,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债,0
41,H000355.OF,南方丰元H,李璇,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债,0
42,H202108.OF,南方润元纯债债券H,金凌志,中长期纯债券型基金,稳定大基金公司,稳定短,稳定小,稳定信用债,0
43,H217003.OF,招商安泰债券H,刘万锋,混合债券型基金(一级),稳定大基金公司,稳定短,稳定小,稳定信用债,0
44,160128.SZ,南方金利定开债券A,李璇,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
45,160515.SZ,博时安丰18个月定开债A,王帅,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1
46,160618.SZ,鹏华丰泽债券(LOF),"祝松,邓明明",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
47,161014.SZ,富国汇利回报定期开放债券,黄纪亮,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
48,161019.SZ,富国新天锋债券(LOF)A,武磊,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
49,161115.SZ,易方达岁丰添利债券A,"张凯頔,胡剑",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
50,161117.SZ,易方达永旭定期开放债券,李一硕,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0
51,162715.SZ,广发聚源债券(LOF)A,吴迪,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
52,164703.SZ,汇添富纯债(LOF),胡娜,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
53,000005.OF,嘉实增强信用定期债券,"轩璇,吴翠",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
54,000032.OF,易方达信用债债券A,"胡剑,纪玲云",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
55,000084.OF,博时安盈债券A,黄海峰,短期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
56,000105.OF,建信安心回报定期开放债券A,"闫晗,姜月",中长期纯债券型基金,,,轮动基金,稳定信用债,0
57,000111.OF,易方达纯债1年定期开放债券A,李一硕,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0
58,000128.OF,大成景安短融债券A,"曾婷婷,张俊杰",短期纯债券型基金,,,轮动基金,稳定信用债,0
59,000137.OF,民生加银岁岁增利债券A,李文君,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
60,000139.OF,富国国有企业债债券A/B,张波,中长期纯债券型基金,稳定大基金公司,稳定短,轮动基金,稳定信用债,0
61,000147.OF,易方达高等级信用债债券A,胡剑,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
62,000183.OF,嘉实丰益策略定期债券,轩璇,混合债券型基金(一级),稳定大基金公司,稳定中,轮动基金,稳定信用债,0
63,000187.OF,华泰柏瑞丰盛纯债债券A,何子建,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0
64,000191.OF,富国信用债债券A/B,"黄纪亮,吕春杰,陈倩",中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0
65,000205.OF,易方达投资级信用债债券A,王晓晨,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
66,000207.OF,建信双债增强A,彭紫云,混合债券型基金(一级),稳定大基金公司,稳定短,轮动基金,稳定信用债,0
67,000244.OF,天弘稳利定期开放A,柴文婷,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0
68,000252.OF,景顺长城景兴信用纯债债券A,何江波,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
69,000254.OF,长城定期开放债券A,张棪,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
70,000265.OF,易方达恒久1年定期债券A,藏海涛,中长期纯债券型基金,轮动基金,轮动基金,稳定大,稳定信用债,0
71,000295.OF,鹏华丰实定期开放债券A,"方昶,王石千",混合债券型基金(一级),轮动基金,稳定短,轮动基金,稳定信用债,0
72,000345.OF,鹏华丰融定期开放债券,刘涛,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
73,000346.OF,建信安心回报6个月定期开放债券A,"闫晗,彭紫云",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
74,000355.OF,南方丰元信用增强债券A,李璇,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
75,000395.OF,汇添富安心中国债券A,"何旻,茹奕菡",中长期纯债券型基金,,,轮动基金,稳定信用债,0
76,000402.OF,工银纯债债券A,"张略钊,谷衡",中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
77,000469.OF,富国目标齐利一年期纯债债券,"张洋,黄纪亮",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
78,000516.OF,富国祥利一年期定期开放债券型A,黄纪亮,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
79,000546.OF,兴业定开债券A,"腊博,周鸣",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,1
80,000552.OF,中加纯债一年A,闫沛贤,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
81,000606.OF,天弘优选债券,刘洋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
82,000799.OF,民生加银半年理财,李文君,短期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
83,000815.OF,鑫元合享纯债A,郭卉,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
84,000914.OF,中加纯债债券,闫沛贤,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
85,000943.OF,工银中高等级信用债债券A,陈桂都,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
86,001001.OF,华夏债券A/B,"吴凡,吴彬",混合债券型基金(一级),,,轮动基金,稳定信用债,0
87,001246.OF,兴银长乐定开债,"范泰奇,陶国峰,王深",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
88,001299.OF,兴业添利债券,"伍方方,周鸣",中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
89,001368.OF,兴业稳固收益一年理财债券,"周鸣,王卓然",中长期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
90,001545.OF,博时裕嘉3个月定开债发起式,郭思洁,中长期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,1
91,001578.OF,博时裕瑞纯债债券,"李汉楠,李秋实,何平",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
92,001785.OF,民生加银岁岁增利债券D,李文君,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
93,001819.OF,兴全稳益定开债券,"翟秀华,王健,石广翔",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
94,001911.OF,博时裕恒纯债债券,郭思洁,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
95,001960.OF,兴银瑞益,"洪木妹,王深,陶国峰",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
96,001961.OF,博时裕荣纯债债券,郭思洁,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
97,001993.OF,博时裕泰纯债债券,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,稳定大,稳定信用债,0
98,002109.OF,博时裕丰3个月定开债发起式,"王帅,程卓",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
99,002140.OF,博时裕诚纯债债券,郭思洁,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
100,002143.OF,博时裕坤3个月定开债发起式,郭思洁,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
101,002169.OF,永赢稳益债券,陶毅,中长期纯债券型基金,轮动基金,轮动基金,稳定中,稳定信用债,0
102,002175.OF,博时裕乾纯债A,何平,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
103,002188.OF,鹏华丰华债券,刘涛,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
104,002198.OF,博时裕达纯债,王帅,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
105,002206.OF,博时裕康纯债,王帅,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
106,002268.OF,兴业丰利债券,伍方方,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
107,002301.OF,兴业短债债券A,刘禹含,短期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
108,002336.OF,创金合信尊享纯债债券A,郑振源,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
109,002338.OF,兴业优债增利债券A,倪侃,混合债券型基金(一级),,,轮动基金,稳定信用债,0
110,002341.OF,招商招瑞纯债债券发起式A,刘万锋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
111,002354.OF,博时裕腾纯债,李秋实,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
112,002377.OF,建信睿怡纯债A,"吴沛文,闫晗",混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
113,002381.OF,东海祥瑞A,张浩硕,中长期纯债券型基金,,,轮动基金,稳定信用债,0
114,002395.OF,鹏华丰尚定期开放债券A,刘涛,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
115,002438.OF,创金合信尊盛纯债债券,郑振源,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
116,002445.OF,兴业丰泰债券,王卓然,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
117,002447.OF,博时裕安一年定开债发起式,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
118,002452.OF,民生加银和鑫定开债券发起式,"裴禹翔,刘昊",中长期纯债券型基金,,,轮动基金,稳定信用债,1
119,002466.OF,博时裕新纯债,郭思洁,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
120,002483.OF,富国泰利定期开放债券发起式,俞晓斌,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
121,002548.OF,嘉实稳瑞纯债债券,"王立芹,韩同利,闫红蕾",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
122,002549.OF,嘉实稳祥纯债债券A,王亚洲,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
123,002552.OF,华夏恒利3个月定开债券,孙蕾,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,1
124,002568.OF,博时裕发纯债债券,于渤洋,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
125,002578.OF,博时裕泉纯债债券,李秋实,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
126,002600.OF,易方达裕景添利6个月定期开放债券,李一硕,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
127,002603.OF,工银瑞信瑞丰半年定期开放纯债债券,李娜,中长期纯债券型基金,轮动基金,稳定短,轮动基金,稳定信用债,0
128,002625.OF,博时安怡6个月定开债,王帅,混合债券型基金(一级),轮动基金,稳定长,轮动基金,稳定信用债,1
129,002638.OF,兴业天融债券,雷志强,中长期纯债券型基金,轮动基金,稳定长,稳定大,稳定信用债,0
130,002698.OF,博时裕利纯债债券,陈黎,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
131,002716.OF,博时裕通3个月定开债发起式A,何平,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
132,002750.OF,工银泰享三年理财债券,陈桂都,中长期纯债券型基金,轮动基金,轮动基金,稳定大,稳定信用债,0
133,002754.OF,博时裕创纯债,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
134,002755.OF,博时裕盛纯债,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
135,002781.OF,博时聚瑞6个月定开债发起式,于渤洋,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
136,002817.OF,招商招恒纯债A,"欧阳倩蓉,王闯",中长期纯债券型基金,,,轮动基金,稳定信用债,0
137,002832.OF,工银恒享纯债债券A,"杨曼丽,陈桂都",中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
138,002864.OF,广发安泽短债A,刘志辉,短期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
139,002868.OF,鹏华丰茂债券,杜培俊,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
140,002898.OF,富国两年期理财债券A,俞晓斌,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
141,002904.OF,博时安仁一年定开债发起式A,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
142,002927.OF,长盛盛和纯债A,王贵君,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
143,002929.OF,博时聚盈纯债债券,于渤洋,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
144,002930.OF,博时聚润纯债债券,王帅,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
145,002970.OF,博时裕昂纯债债券,李汉楠,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
146,002985.OF,中银季季红定期开放债券,易芳菲,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
147,002991.OF,嘉实稳鑫纯债债券,李卓锴,中长期纯债券型基金,轮动基金,稳定长,稳定小,稳定信用债,0
148,002994.OF,招商招裕纯债A,"王闯,康晶",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
149,003039.OF,广发集富纯债A,吴迪,中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
150,003102.OF,长盛盛裕纯债A,王贵君,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
151,003155.OF,中加丰尚纯债债券A,王霈,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
152,003162.OF,博时富宁纯债债券,李秋实,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
153,003188.OF,博时聚源纯债债券A,黄海峰,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
154,003192.OF,创金合信尊丰纯债,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
155,003193.OF,创金合信尊智纯债A,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
156,003209.OF,鹏华丰达债券,杜培俊,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
157,003213.OF,中银悦享定期开放债券,白洁,中长期纯债券型基金,轮动基金,轮动基金,稳定小,稳定信用债,0
158,003214.OF,易方达富惠纯债债券A,李一硕,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
159,003223.OF,广发景丰纯债,吴迪,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
160,003258.OF,博时富祥纯债债券A,陈黎,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
161,003260.OF,博时利发纯债债券A,王帅,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
162,003265.OF,招商招坤纯债A,郭敏,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
163,003268.OF,博时悦楚纯债债券A,郭思洁,中长期纯债券型基金,轮动基金,稳定中,轮动基金,稳定信用债,0
164,003269.OF,招商招乾3个月定开债发起式A,王梓林,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,1
165,003280.OF,鹏华丰恒债券,方昶,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
166,003285.OF,国寿安保安康纯债债券,李一鸣,中长期纯债券型基金,轮动基金,稳定长,轮动基金,稳定信用债,0
167,003289.OF,创金合信尊泰纯债,郑振源,混合债券型基金(一级),轮动基金,轮动基金,轮动基金,稳定信用债,0
168,003290.OF,长城久稳债券A,吴冰燕,中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
169,003313.OF,中银睿享定期开放债券,白洁,中长期纯债券型基金,轮动基金,轮动基金,稳定小,稳定信用债,0
170,003315.OF,景顺长城政策性金融债A,"陈健宾,何江波",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
171,003327.OF,万家鑫璟纯债A,"周慧,周潜玮",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
172,003329.OF,万家鑫安纯债A,"周慧,周潜玮",中长期纯债券型基金,轮动基金,轮动基金,轮动基金,稳定信用债,0
