,thscode,总排名,ths_fund_short_name_fund,ths_fund_manager_current_fund,ths_invest_type_second_classi_fund,bigcompany,Duration,lever,bondtype,是否为定开
338,007576.OF,338,华夏鼎琪三个月定开债券,孙蕾,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
339,007278.OF,339,国泰兴富三个月定期开放债券,"刘嵩扬,胡智磊",中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
340,009792.OF,340,工银瑞益债券A,张略钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
341,000187.OF,341,华泰柏瑞丰盛纯债债券A,何子建,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
342,005024.OF,342,南方兴利半年定开债券发起,"李璇,杜才超",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
343,005622.OF,343,博时富安3个月定开债发起式,"李秋实,黄海峰",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
344,003214.OF,344,易方达富惠纯债债券A,李一硕,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
345,005469.OF,345,南方浙利定开债券发起,黄斌斌,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
346,008030.OF,346,农银金益债券,郭振宇,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
347,009284.OF,347,上银慧丰利债券,"许佳,高永",中长期纯债券型基金,稳定小基金公司,轮动基金,稳定小,稳定信用债,0.0
348,000815.OF,348,鑫元合享纯债A,郭卉,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,,0.0
349,007201.OF,349,民生加银聚益纯债,"李文君,刘昊",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
350,007440.OF,350,南方旭元A,金凌志,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
351,000265.OF,351,易方达恒久1年定期债券A,藏海涛,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0.0
352,005462.OF,352,博时富业3个月定开债发起式,"倪玉娟,吕瑞君",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
353,002832.OF,353,工银恒享纯债债券A,"杨曼丽,陈桂都",中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
354,003268.OF,354,博时悦楚纯债债券A,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
355,006791.OF,355,建信睿兴纯债债券,刘思,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
356,007451.OF,356,易方达恒兴3个月定开债券发起式,王晓晨,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
357,006869.OF,357,广发政策性金融债,"赵子良,洪志",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
358,007692.OF,358,永赢鼎利债券A,谢越,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
359,161014.SZ,359,富国汇利回报定期开放债券,黄纪亮,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
360,002483.OF,360,富国泰利定期开放债券发起式,俞晓斌,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
361,006963.OF,361,中加颐瑾定开债券A,王霈,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
362,000111.OF,362,易方达纯债1年定期开放债券A,李一硕,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0.0
363,007342.OF,363,国投瑞银顺臻纯债债券A,李鸥,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
364,003673.OF,364,中加丰裕纯债债券A,王霈,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
365,006758.OF,365,农银汇理金禄债券,"郭振宇,周宇",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
366,006043.OF,366,永赢惠益债券A,吴玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
367,004547.OF,367,华夏稳定双利债券A,张海静,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
368,007691.OF,368,永赢泽利一年,钱布克,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
369,000205.OF,369,易方达投资级信用债债券A,王晓晨,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,0.0
370,001911.OF,370,博时裕恒纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
371,007454.OF,371,民生加银嘉盈债券,李文君,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
372,002603.OF,372,工银瑞信瑞丰半年定期开放纯债债券,李娜,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
373,005897.OF,373,平安合颖定开债,张文平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
374,007215.OF,374,国寿安保泰荣纯债债券,丁宇佳,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
375,485120.OF,375,工银14天理财债券发起A,李娜,短期纯债券型基金,稳定大基金公司,稳定短,轮动基金,稳定信用债,0.0
376,006393.OF,376,招商添德3个月定开债A,黄晓婷,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
377,004555.OF,377,南方和元A,"黄斌斌,施彦珏",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
378,485107.OF,378,工银添利债券A,谷衡,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
379,519225.OF,379,海富通集利债券,方昆明,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
380,003454.OF,380,招商招通纯债A,黄晓婷,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
381,006764.OF,381,景顺长城景泰鑫利纯债A,何江波,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
382,002755.OF,382,博时裕盛纯债,李汉楠,中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
383,002438.OF,383,创金合信尊盛纯债债券,郑振源,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
384,003162.OF,384,博时富宁纯债债券,李秋实,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
385,160618.SZ,385,鹏华丰泽债券(LOF),"祝松,邓明明",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
386,161117.SZ,386,易方达永旭定期开放债券,李一硕,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0.0
387,005364.OF,387,华夏鼎顺三个月定开债券A,张海静,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,1.0
388,007572.OF,388,中加民丰纯债A,袁素,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
389,110035.OF,389,易方达双债增强债券A,"田鑫,王晓晨",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
390,002466.OF,390,博时裕新纯债,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
391,002354.OF,391,博时裕腾纯债,李秋实,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
392,009298.OF,392,英大安惠纯债A,"张婧珣,张大铮,易祺坤",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
393,007954.OF,393,平安惠涌纯债,欧阳亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
394,162715.SZ,394,广发聚源债券(LOF)A,吴迪,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
395,675041.OF,395,西部利得合享A,刘心峰,混合债券型基金(一级),稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
396,007560.OF,396,,,,,,,,
397,202103.OF,397,南方多利增强债券A,李璇,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
398,003327.OF,398,万家鑫璟纯债A,"周慧,周潜玮",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
399,000207.OF,399,建信双债增强A,彭紫云,混合债券型基金(一级),稳定大基金公司,稳定短,轮动基金,稳定信用债,0.0
400,002716.OF,400,博时裕通3个月定开债发起式A,何平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
401,004689.OF,401,博时丰庆纯债债券,李汉楠,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
402,000295.OF,402,鹏华丰实定期开放债券A,"方昶,王石千",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
403,007184.OF,403,蜂巢添鑫纯债A,"李海涛,廖新昌",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
404,004655.OF,404,汇添富鑫汇债券A,杨靖,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
405,008620.OF,405,嘉实致宁3个月定开纯债债券,"李卓锴,李宇昂",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,1.0
406,006191.OF,406,华夏鼎通债券A,吴彬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
407,006771.OF,407,永赢合益债券,谢越,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
408,519332.OF,408,浦银安盛盛达纯债债券A,章潇枫,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
409,004366.OF,409,博时汇享纯债债券A,王帅,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
410,000137.OF,410,民生加银岁岁增利债券A,李文君,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
411,006955.OF,411,国泰惠富纯债债券A,"索峰,胡智磊",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
412,006714.OF,412,博时富源纯债债券A,"李秋实,何平",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
413,217003.OF,413,招商安泰债券A,刘万锋,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
414,006116.OF,414,国泰丰祺纯债债券A,"胡智磊,索峰",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
415,002600.OF,415,易方达裕景添利6个月定期开放债券,李一硕,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
416,004498.OF,416,鹏华丰源债券,刘涛,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
417,009306.OF,417,平安惠铭纯债,"李瑾懿,张文平",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
418,002175.OF,418,博时裕乾纯债A,何平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
419,002638.OF,419,兴业天融债券,雷志强,中长期纯债券型基金,稳定大基金公司,稳定长,稳定大,稳定信用债,0.0
420,002552.OF,420,华夏恒利3个月定开债券,孙蕾,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,1.0
421,006841.OF,421,嘉实致享纯债债券,"赵国英,张文佳",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
422,004230.OF,422,永赢添益债券,吴玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
423,005606.OF,423,招商招鸿6个月定开债发起式,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,稳定小,稳定信用债,1.0
424,003929.OF,424,中银证券安进债券A,"余亮,王玉玺",中长期纯债券型基金,稳定大基金公司,稳定长,稳定小,稳定信用债,0.0
425,007681.OF,425,鹏华丰登债券,"张丽娟,吴国杰,刘涛",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
426,007949.OF,426,富国泽利纯债债券,武磊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
427,006427.OF,427,招商添悦纯债A,刘万锋,中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,稳定信用债,0.0
428,004334.OF,428,博时广利3个月定开债发起式,于渤洋,中长期纯债券型基金,稳定小基金公司,轮动基金,稳定中,稳定信用债,1.0
429,007670.OF,429,嘉实商业银行精选债券,王立芹,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
430,519330.OF,430,浦银安盛盛跃纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
431,519776.OF,431,交银裕盈纯债债券A,"于海颖,姬静",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
432,004503.OF,432,鹏华永泰定期开放债券,"祝松,应琛",混合债券型基金(一级),稳定小基金公司,轮动基金,稳定大,稳定信用债,0.0
433,008761.OF,433,南方骏元中短期利率债债券,"黄斌斌,王润栋",短期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
434,008242.OF,434,英大通盈纯债债券A,"吕一楠,易祺坤,张大铮",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
435,003329.OF,435,万家鑫安纯债A,"周慧,周潜玮",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
436,002140.OF,436,博时裕诚纯债债券,郭思洁,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
437,519334.OF,437,浦银安盛盛勤定开债券A,李羿,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定小,稳定信用债,1.0
438,004030.OF,438,嘉实丰安6个月定期债券,王亚洲,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
439,004126.OF,439,浦银安盛稳健增利债券(LOF)A,章潇枫,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
440,005971.OF,440,平安惠锦债券,欧阳亮,中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
441,002754.OF,441,博时裕创纯债,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,轮动基金,0.0
442,003315.OF,442,景顺长城政策性金融债A,"陈健宾,何江波",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
443,003730.OF,443,博时富华纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,稳定大,稳定信用债,0.0
444,002991.OF,444,嘉实稳鑫纯债债券,李卓锴,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
445,006029.OF,445,鹏华尊享定期开放发起式债券,应琛,中长期纯债券型基金,稳定小基金公司,稳定短,轮动基金,稳定信用债,0.0
446,090021.OF,446,大成月添利一个月滚动持有中短债债券A,曾婷婷,短期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
447,005920.OF,447,富国颐利纯债债券,"吕春杰,李金柳",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
448,005073.OF,448,永赢永益债券A,徐沛琳,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
449,004728.OF,449,中欧瑾泰债券A,LI TONG,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
450,004910.OF,450,中加颐享纯债债券A,于跃,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
451,008875.OF,451,国寿安保尊恒利率债债券A,"李辉,卢珊",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
452,008539.OF,452,工银开元利率债债券A,张略钊,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
453,004479.OF,453,博时富和纯债债券,李秋实,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
454,005200.OF,454,浦银普瑞A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
455,002930.OF,455,博时聚润纯债债券,王帅,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
456,004956.OF,456,中银证券安誉债券A,余亮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
457,009922.OF,457,华夏鼎富债券A,吴彬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
458,007408.OF,458,鹏扬淳开债券A,"王黎骁,陈钟闻",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
459,007068.OF,459,浦银安盛普丰纯债债券A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
460,010083.OF,460,中银欣享利率债,"白洁,刘筱筠",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
461,002994.OF,461,招商招裕纯债A,"王闯,康晶",中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
462,519680.OF,462,交银增利债券A/B,"张顺晨,魏玉敏",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
463,006750.OF,463,富国德利纯债三个月定期开放债券型发起式,"刘瀚驰,吕春杰",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
464,002524.OF,464,兴业福益债券,唐丁祥,混合债券型基金(一级),稳定大基金公司,轮动基金,稳定中,稳定信用债,0.0
465,006097.OF,465,平安高等级债A,欧阳亮,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
466,005864.OF,466,国投瑞银顺达纯债债券,"敬夏玺,李鸥",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
467,261001.OF,467,景顺长城稳定收益债券A,"李训练,何江波",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
468,006367.OF,468,交银裕祥纯债债券A,季参平,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
469,004136.OF,469,博时民泽纯债债券,倪玉娟,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
470,050106.OF,470,博时稳定价值债券A,"罗霄,张李陵",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,,0.0
471,006665.OF,471,华夏鼎康债券A,吴彬,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
472,000005.OF,472,嘉实增强信用定期债券,轩璇,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
473,007714.OF,473,南方贺元利率债A,金凌志,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
474,005393.OF,474,南方卓利3个月定开债发起式,"金凌志,李璇",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,1.0
475,519328.OF,475,浦银安盛盛泰纯债债券A,陶祺,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,轮动基金,0.0
476,006172.OF,476,万家鑫悦纯债A,周潜玮,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
477,002698.OF,477,博时裕利纯债债券,陈黎,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
478,161115.SZ,478,易方达岁丰添利债券A,"张凯頔,胡剑",混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
479,161019.SZ,479,富国新天锋债券(LOF)A,武磊,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
480,002336.OF,480,创金合信尊享纯债债券A,郑振源,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
481,003188.OF,481,博时聚源纯债债券A,黄海峰,中长期纯债券型基金,稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
482,006450.OF,482,嘉实致盈债券,"张文佳,王立芹",混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
483,164703.SZ,483,汇添富纯债(LOF),胡娜,混合债券型基金(一级),稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
484,009338.OF,484,万家民瑞祥和6个月持有期债券A,"周潜玮,周慧",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
485,003590.OF,485,建信睿富纯债债券,刘思,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
486,006464.OF,486,浦银普益A,章潇枫,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
487,002970.OF,487,博时裕昂纯债债券,李汉楠,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
488,005972.OF,488,交银裕如纯债债券A,"于海颖,张顺晨",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,轮动基金,0.0
489,002188.OF,489,鹏华丰华债券,刘涛,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
490,006599.OF,490,国寿安保安丰纯债债券,李一鸣,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
491,007086.OF,491,永赢汇利六个月定开债,钱布克,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,1.0
492,000606.OF,492,天弘优选债券,刘洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
493,002578.OF,493,博时裕泉纯债债券,李秋实,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
494,460008.OF,494,华泰柏瑞稳健收益债券A,罗远航,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
495,006934.OF,495,平安3-5年期政策性金融债债券A,"刘晓兰,苏宁,张璐",中长期纯债券型基金,稳定小基金公司,稳定长,轮动基金,,0.0
496,007199.OF,496,永赢泰利债券A,"刘星宇,陶毅,杨野",中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
497,005072.OF,497,中银丰进定期开放债券,易芳菲,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
498,100018.OF,498,富国天利增长债券A,黄纪亮,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
499,007555.OF,499,中航瑞明纯债A,茅勇峰,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
500,070005.OF,500,嘉实债券,轩璇,混合债券型基金(一级),稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
501,002568.OF,501,博时裕发纯债债券,于渤洋,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
502,006169.OF,502,工银瑞福纯债债券A,李娜,中长期纯债券型基金,稳定小基金公司,轮动基金,轮动基金,稳定信用债,0.0
503,519743.OF,503,交银丰润收益债券A,季参平,中长期纯债券型基金,稳定大基金公司,轮动基金,轮动基金,稳定信用债,0.0
504,006944.OF,504,永赢悦利债券,"徐沛琳,吴玮",中长期纯债券型基金,稳定小基金公司,稳定中,轮动基金,稳定信用债,0.0
505,003039.OF,505,广发集富纯债A,吴迪,中长期纯债券型基金,稳定大基金公司,稳定中,轮动基金,稳定信用债,0.0
506,485105.OF,506,工银增强收益债券A,"杜海涛,张略钊",混合债券型基金(一级),稳定大基金公司,稳定长,轮动基金,稳定信用债,0.0
